TIMESTAMP,ALF32066_OPEN_PRICE_USD,ALF32066_HIGH_PRICE_USD,ALF32066_LOW_PRICE_USD,ALF32066_CLOSE_PRICE_USD,ALF32066_VOLUME_USD,ALF32066_DIVIDENDS_USD,ALF32066_STOCK_SPLITS_USD
2024-11-18 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,21132,0.0,0.0
2024-11-19 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,10314,0.0,0.0
2024-11-20 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,26946,0.0,0.0
2024-11-21 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,15245,0.0,0.0
2024-11-22 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,12722,0.0,0.0
2024-11-23 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,13249,0.0,0.0
2024-11-24 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,12376,0.0,0.0
2024-11-25 00:00:00+00:00,3.999999989900971e-06,7.999999979801942e-06,3.999999989900971e-06,4.999999873689376e-06,55350,0.0,0.0
2024-11-26 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,67774,0.0,0.0
2024-11-27 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,21333,0.0,0.0
2024-11-28 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,26015,0.0,0.0
2024-11-29 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,14023,0.0,0.0
