TIMESTAMP,TIFI_OPEN_PRICE_USD,TIFI_HIGH_PRICE_USD,TIFI_LOW_PRICE_USD,TIFI_CLOSE_PRICE_USD,TIFI_VOLUME_USD,TIFI_DIVIDENDS_USD,TIFI_STOCK_SPLITS_USD
2023-10-09 00:00:00+00:00,,,,0.0,33765,0.0,0.0
2023-10-10 00:00:00+00:00,,,,0.0,28169,0.0,0.0
2023-10-11 00:00:00+00:00,,,,0.0,31058,0.0,0.0
2023-10-12 00:00:00+00:00,,,,0.0,28747,0.0,0.0
2023-10-13 00:00:00+00:00,,,,0.0,37530,0.0,0.0
2023-10-14 00:00:00+00:00,,,,0.0,29397,0.0,0.0
2023-10-15 00:00:00+00:00,,,,0.0,25685,0.0,0.0
2023-10-16 00:00:00+00:00,,,,0.0,31195,0.0,0.0
2023-10-17 00:00:00+00:00,,,,0.0,38999,0.0,0.0
2023-10-18 00:00:00+00:00,,,,0.0,57819,0.0,0.0
2023-10-19 00:00:00+00:00,,,,0.0,31063,0.0,0.0
2023-10-20 00:00:00+00:00,,,,0.0,29967,0.0,0.0
2023-10-21 00:00:00+00:00,,,,0.0,33218,0.0,0.0
2023-10-22 00:00:00+00:00,,,,0.0,38051,0.0,0.0
2023-10-23 00:00:00+00:00,,,,0.0,38800,0.0,0.0
2023-10-24 00:00:00+00:00,,,,0.0,35266,0.0,0.0
2023-10-25 00:00:00+00:00,,,,0.0,35191,0.0,0.0
2023-10-26 00:00:00+00:00,,,,0.0,34243,0.0,0.0
2023-10-27 00:00:00+00:00,,,,0.0,47297,0.0,0.0
2023-10-28 00:00:00+00:00,,,,0.0,35241,0.0,0.0
2023-10-29 00:00:00+00:00,,,,0.0,41123,0.0,0.0
2023-10-30 00:00:00+00:00,,,,0.0,34117,0.0,0.0
2023-10-31 00:00:00+00:00,,,,0.0,30783,0.0,0.0
2023-11-01 00:00:00+00:00,,,,0.0,39980,0.0,0.0
2023-11-02 00:00:00+00:00,,,,0.0,49242,0.0,0.0
2023-11-03 00:00:00+00:00,,,,0.0,42674,0.0,0.0
2023-11-04 00:00:00+00:00,,,,0.0,35117,0.0,0.0
2023-11-05 00:00:00+00:00,,,,0.0,40690,0.0,0.0
2023-11-06 00:00:00+00:00,,,,0.0,39413,0.0,0.0
2023-11-07 00:00:00+00:00,,,,0.0,35962,0.0,0.0
2023-11-08 00:00:00+00:00,,,,0.0,33410,0.0,0.0
2023-11-09 00:00:00+00:00,,,,0.0,36279,0.0,0.0
2023-11-10 00:00:00+00:00,,,,0.0,38708,0.0,0.0
2023-11-11 00:00:00+00:00,,,,0.0,115787,0.0,0.0
2023-11-12 00:00:00+00:00,,,,0.0,64089,0.0,0.0
2023-11-13 00:00:00+00:00,,,,0.0,42946,0.0,0.0
2023-11-14 00:00:00+00:00,,,,0.0,48850,0.0,0.0
2023-11-15 00:00:00+00:00,,,,0.0,41286,0.0,0.0
2023-11-16 00:00:00+00:00,,,,0.0,30441,0.0,0.0
2023-11-17 00:00:00+00:00,,,,0.0,41632,0.0,0.0
2023-11-18 00:00:00+00:00,,,,0.0,21191,0.0,0.0
2023-11-19 00:00:00+00:00,,,,0.0,41709,0.0,0.0
2023-11-20 00:00:00+00:00,,,,0.0,193593,0.0,0.0
2023-11-21 00:00:00+00:00,,,,0.0,349480,0.0,0.0
2023-11-22 00:00:00+00:00,,,,0.0,362196,0.0,0.0
2023-11-23 00:00:00+00:00,,,,0.0,431618,0.0,0.0
2023-11-24 00:00:00+00:00,,,,0.0,656630,0.0,0.0
2023-11-25 00:00:00+00:00,,,,0.0,433530,0.0,0.0
2023-11-26 00:00:00+00:00,,,,0.0,490589,0.0,0.0
2023-11-27 00:00:00+00:00,,,,0.0,320155,0.0,0.0
2023-11-28 00:00:00+00:00,,,,0.0,563879,0.0,0.0
2023-11-29 00:00:00+00:00,,,,0.0,365807,0.0,0.0
2023-11-30 00:00:00+00:00,,,,0.0,309201,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,393608,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,310884,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,216291,0.0,0.0
2023-12-04 00:00:00+00:00,,,,0.0,529552,0.0,0.0
2023-12-05 00:00:00+00:00,,,,0.0,433630,0.0,0.0
2023-12-06 00:00:00+00:00,,,,0.0,322926,0.0,0.0
2023-12-07 00:00:00+00:00,,,,0.0,554917,0.0,0.0
2023-12-08 00:00:00+00:00,,,,0.0,266139,0.0,0.0
2023-12-09 00:00:00+00:00,,,,0.0,331126,0.0,0.0
2023-12-10 00:00:00+00:00,,,,0.0,316549,0.0,0.0
2023-12-11 00:00:00+00:00,,,,0.0,491217,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,236913,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,347019,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,339663,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,443820,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,616738,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,573836,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,726413,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,546930,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,627439,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,512491,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,555906,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,621684,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,564922,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,398266,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,580175,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,661095,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,727255,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,587707,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,547717,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,524834,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,610642,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,717196,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,581315,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,525456,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,476157,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,456914,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,675308,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,604216,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,578940,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,636544,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,544459,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,690555,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,409788,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,572776,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,530034,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,715836,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,652742,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,437038,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,495645,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,560097,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,745555,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,715584,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,435557,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,306243,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,322061,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,1076241,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,1098917,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,322714,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,1522884,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,509273,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,359307,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,372571,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,342908,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,317141,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,139159,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,185544,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,58105,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,110592,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,173322,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,311882,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,51144,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,46440,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,56767,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,289305,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,359448,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,125851,0.0,0.0
