TIMESTAMP,SAFEMOONCASH_OPEN_PRICE_USD,SAFEMOONCASH_HIGH_PRICE_USD,SAFEMOONCASH_LOW_PRICE_USD,SAFEMOONCASH_CLOSE_PRICE_USD,SAFEMOONCASH_VOLUME_USD,SAFEMOONCASH_DIVIDENDS_USD,SAFEMOONCASH_STOCK_SPLITS_USD
2022-02-07 00:00:00+00:00,,,,0.0,2082,0.0,0.0
2022-02-08 00:00:00+00:00,,,,0.0,1733,0.0,0.0
2022-02-09 00:00:00+00:00,,,,0.0,864,0.0,0.0
2022-02-10 00:00:00+00:00,,,,0.0,1951,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,2137,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,1091,0.0,0.0
2022-02-13 00:00:00+00:00,,,,0.0,603,0.0,0.0
2022-02-14 00:00:00+00:00,,,,0.0,579,0.0,0.0
2022-02-15 00:00:00+00:00,,,,0.0,2118,0.0,0.0
2022-02-16 00:00:00+00:00,,,,0.0,1983,0.0,0.0
2022-02-17 00:00:00+00:00,,,,0.0,1168,0.0,0.0
2022-02-18 00:00:00+00:00,,,,0.0,991,0.0,0.0
2022-02-19 00:00:00+00:00,,,,0.0,797,0.0,0.0
2022-02-20 00:00:00+00:00,,,,0.0,323,0.0,0.0
2022-02-21 00:00:00+00:00,,,,0.0,1959,0.0,0.0
2022-02-22 00:00:00+00:00,,,,0.0,2367,0.0,0.0
2022-02-23 00:00:00+00:00,,,,0.0,943,0.0,0.0
2022-02-24 00:00:00+00:00,,,,0.0,673,0.0,0.0
2022-02-25 00:00:00+00:00,,,,0.0,81,0.0,0.0
2022-02-26 00:00:00+00:00,,,,0.0,557,0.0,0.0
2022-02-27 00:00:00+00:00,,,,0.0,664,0.0,0.0
2022-02-28 00:00:00+00:00,,,,0.0,646,0.0,0.0
2022-03-01 00:00:00+00:00,,,,0.0,788,0.0,0.0
2022-03-02 00:00:00+00:00,,,,0.0,678,0.0,0.0
2022-03-03 00:00:00+00:00,,,,0.0,1269,0.0,0.0
2022-03-04 00:00:00+00:00,,,,0.0,978,0.0,0.0
2022-03-05 00:00:00+00:00,,,,0.0,436,0.0,0.0
2022-03-06 00:00:00+00:00,,,,0.0,2196,0.0,0.0
2022-03-07 00:00:00+00:00,,,,0.0,3064,0.0,0.0
2022-03-08 00:00:00+00:00,,,,0.0,2354,0.0,0.0
2022-03-09 00:00:00+00:00,,,,0.0,2114,0.0,0.0
2022-03-10 00:00:00+00:00,,,,0.0,2918,0.0,0.0
2022-03-11 00:00:00+00:00,,,,0.0,3222,0.0,0.0
2022-03-12 00:00:00+00:00,,,,0.0,3098,0.0,0.0
2022-03-13 00:00:00+00:00,,,,0.0,2252,0.0,0.0
2022-03-14 00:00:00+00:00,,,,0.0,1311,0.0,0.0
2022-03-15 00:00:00+00:00,,,,0.0,1446,0.0,0.0
2022-03-16 00:00:00+00:00,,,,0.0,2950,0.0,0.0
2022-03-17 00:00:00+00:00,,,,0.0,3226,0.0,0.0
2022-03-18 00:00:00+00:00,,,,0.0,1681,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,1019,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,274,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,312,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,191,0.0,0.0
2022-03-23 00:00:00+00:00,,,,0.0,638,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,947,0.0,0.0
2022-03-25 00:00:00+00:00,,,,0.0,739,0.0,0.0
2022-03-26 00:00:00+00:00,,,,0.0,1600,0.0,0.0
2022-03-27 00:00:00+00:00,,,,0.0,1556,0.0,0.0
2022-03-28 00:00:00+00:00,,,,0.0,760,0.0,0.0
2022-03-29 00:00:00+00:00,,,,0.0,1341,0.0,0.0
2022-03-30 00:00:00+00:00,,,,0.0,1085,0.0,0.0
2022-03-31 00:00:00+00:00,,,,0.0,735,0.0,0.0
2022-04-01 00:00:00+00:00,,,,0.0,679,0.0,0.0
2022-04-02 00:00:00+00:00,,,,0.0,3003,0.0,0.0
2022-04-03 00:00:00+00:00,,,,0.0,3226,0.0,0.0
2022-04-04 00:00:00+00:00,,,,0.0,634,0.0,0.0
2022-04-05 00:00:00+00:00,,,,0.0,550,0.0,0.0
2022-04-06 00:00:00+00:00,,,,0.0,404,0.0,0.0
2022-04-07 00:00:00+00:00,,,,0.0,349,0.0,0.0
2022-04-08 00:00:00+00:00,,,,0.0,315,0.0,0.0
2022-04-09 00:00:00+00:00,,,,0.0,202,0.0,0.0
2022-04-10 00:00:00+00:00,,,,0.0,663,0.0,0.0
2022-04-11 00:00:00+00:00,,,,0.0,987,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,592,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,437,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,377,0.0,0.0
2022-04-15 00:00:00+00:00,,,,0.0,381,0.0,0.0
2022-04-16 00:00:00+00:00,,,,0.0,347,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,286,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,617,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,899,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,599,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,539,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,663,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,401,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,547,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,604,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,490,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,402,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,233,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,411,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,386,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,974,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,909,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,100,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,131,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,283,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,500,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,390,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,242,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,164,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,100,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,309,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,1054,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,1112,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,724,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,1051,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,617,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,115,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,107,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,259,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,1780,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,1729,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,522,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,623,0.0,0.0
2022-05-24 00:00:00+00:00,,,,0.0,369,0.0,0.0
2022-05-25 00:00:00+00:00,,,,0.0,216,0.0,0.0
2022-05-26 00:00:00+00:00,,,,0.0,173,0.0,0.0
2022-05-27 00:00:00+00:00,,,,0.0,120,0.0,0.0
2022-05-28 00:00:00+00:00,,,,0.0,84,0.0,0.0
2022-05-29 00:00:00+00:00,,,,0.0,107,0.0,0.0
2022-05-30 00:00:00+00:00,,,,0.0,240,0.0,0.0
2022-05-31 00:00:00+00:00,,,,0.0,319,0.0,0.0
2022-06-01 00:00:00+00:00,,,,0.0,258,0.0,0.0
2022-06-02 00:00:00+00:00,,,,0.0,167,0.0,0.0
2022-06-03 00:00:00+00:00,,,,0.0,69,0.0,0.0
2022-06-04 00:00:00+00:00,,,,0.0,66,0.0,0.0
2022-06-05 00:00:00+00:00,,,,0.0,40,0.0,0.0
2022-06-06 00:00:00+00:00,,,,0.0,342,0.0,0.0
2022-06-07 00:00:00+00:00,,,,0.0,774,0.0,0.0
2022-06-08 00:00:00+00:00,,,,0.0,509,0.0,0.0
2022-06-09 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-06-10 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-06-11 00:00:00+00:00,,,,0.0,168,0.0,0.0
2022-06-12 00:00:00+00:00,,,,0.0,301,0.0,0.0
2022-06-13 00:00:00+00:00,,,,0.0,158,0.0,0.0
2022-06-14 00:00:00+00:00,,,,0.0,130,0.0,0.0
2022-06-15 00:00:00+00:00,,,,0.0,189,0.0,0.0
2022-06-16 00:00:00+00:00,,,,0.0,183,0.0,0.0
2022-06-17 00:00:00+00:00,,,,0.0,21,0.0,0.0
2022-06-18 00:00:00+00:00,,,,0.0,100,0.0,0.0
2022-06-19 00:00:00+00:00,,,,0.0,106,0.0,0.0
2022-06-20 00:00:00+00:00,,,,0.0,200,0.0,0.0
2022-06-21 00:00:00+00:00,,,,0.0,341,0.0,0.0
2022-06-22 00:00:00+00:00,,,,0.0,144,0.0,0.0
2022-06-23 00:00:00+00:00,,,,0.0,111,0.0,0.0
2022-06-24 00:00:00+00:00,,,,0.0,148,0.0,0.0
2022-06-25 00:00:00+00:00,,,,0.0,132,0.0,0.0
2022-06-26 00:00:00+00:00,,,,0.0,529,0.0,0.0
2022-06-27 00:00:00+00:00,,,,0.0,454,0.0,0.0
2022-06-28 00:00:00+00:00,,,,0.0,455,0.0,0.0
2022-06-29 00:00:00+00:00,,,,0.0,563,0.0,0.0
2022-06-30 00:00:00+00:00,,,,0.0,137,0.0,0.0
2022-07-01 00:00:00+00:00,,,,0.0,48,0.0,0.0
2022-07-02 00:00:00+00:00,,,,0.0,234,0.0,0.0
2022-07-03 00:00:00+00:00,,,,0.0,187,0.0,0.0
2022-07-04 00:00:00+00:00,,,,0.0,15,0.0,0.0
2022-07-05 00:00:00+00:00,,,,0.0,15,0.0,0.0
2022-07-06 00:00:00+00:00,,,,0.0,353,0.0,0.0
2022-07-07 00:00:00+00:00,,,,0.0,596,0.0,0.0
2022-07-08 00:00:00+00:00,,,,0.0,247,0.0,0.0
2022-07-09 00:00:00+00:00,,,,0.0,117,0.0,0.0
2022-07-10 00:00:00+00:00,,,,0.0,216,0.0,0.0
2022-07-11 00:00:00+00:00,,,,0.0,196,0.0,0.0
2022-07-12 00:00:00+00:00,,,,0.0,158,0.0,0.0
2022-07-13 00:00:00+00:00,,,,0.0,75,0.0,0.0
2022-07-14 00:00:00+00:00,,,,0.0,5,0.0,0.0
2022-07-15 00:00:00+00:00,,,,0.0,71,0.0,0.0
2022-07-16 00:00:00+00:00,,,,0.0,91,0.0,0.0
2022-07-17 00:00:00+00:00,,,,0.0,27,0.0,0.0
2022-07-18 00:00:00+00:00,,,,0.0,1458,0.0,0.0
2022-07-19 00:00:00+00:00,,,,0.0,1519,0.0,0.0
2022-07-20 00:00:00+00:00,,,,0.0,178,0.0,0.0
2022-07-21 00:00:00+00:00,,,,0.0,288,0.0,0.0
2022-07-22 00:00:00+00:00,,,,0.0,352,0.0,0.0
2022-07-23 00:00:00+00:00,,,,0.0,291,0.0,0.0
2022-07-24 00:00:00+00:00,,,,0.0,80,0.0,0.0
2022-07-25 00:00:00+00:00,,,,0.0,43,0.0,0.0
2022-07-26 00:00:00+00:00,,,,0.0,43,0.0,0.0
2022-07-27 00:00:00+00:00,,,,0.0,153,0.0,0.0
2022-07-28 00:00:00+00:00,,,,0.0,181,0.0,0.0
2022-07-29 00:00:00+00:00,,,,0.0,48,0.0,0.0
2022-07-30 00:00:00+00:00,,,,0.0,29,0.0,0.0
2022-07-31 00:00:00+00:00,,,,0.0,40,0.0,0.0
2022-08-01 00:00:00+00:00,,,,0.0,35,0.0,0.0
2022-08-02 00:00:00+00:00,,,,0.0,187,0.0,0.0
2022-08-03 00:00:00+00:00,,,,0.0,204,0.0,0.0
2022-08-04 00:00:00+00:00,,,,0.0,161,0.0,0.0
2022-08-05 00:00:00+00:00,,,,0.0,392,0.0,0.0
2022-08-06 00:00:00+00:00,,,,0.0,220,0.0,0.0
2022-08-07 00:00:00+00:00,,,,0.0,238,0.0,0.0
2022-08-08 00:00:00+00:00,,,,0.0,215,0.0,0.0
2022-08-09 00:00:00+00:00,,,,0.0,651,0.0,0.0
2022-08-10 00:00:00+00:00,,,,0.0,933,0.0,0.0
2022-08-11 00:00:00+00:00,,,,0.0,333,0.0,0.0
2022-08-12 00:00:00+00:00,,,,0.0,297,0.0,0.0
2022-08-13 00:00:00+00:00,,,,0.0,256,0.0,0.0
2022-08-14 00:00:00+00:00,,,,0.0,93,0.0,0.0
2022-08-15 00:00:00+00:00,,,,0.0,294,0.0,0.0
2022-08-16 00:00:00+00:00,,,,0.0,268,0.0,0.0
2022-08-17 00:00:00+00:00,,,,0.0,103,0.0,0.0
2022-08-18 00:00:00+00:00,,,,0.0,64,0.0,0.0
2022-08-19 00:00:00+00:00,,,,0.0,16,0.0,0.0
2022-08-20 00:00:00+00:00,,,,0.0,143,0.0,0.0
2022-08-21 00:00:00+00:00,,,,0.0,24,0.0,0.0
2022-08-22 00:00:00+00:00,,,,0.0,6,0.0,0.0
2022-08-23 00:00:00+00:00,,,,0.0,232,0.0,0.0
2022-08-24 00:00:00+00:00,,,,0.0,105,0.0,0.0
2022-08-25 00:00:00+00:00,,,,0.0,62,0.0,0.0
2022-08-26 00:00:00+00:00,,,,0.0,19,0.0,0.0
2022-08-27 00:00:00+00:00,,,,0.0,143,0.0,0.0
2022-08-28 00:00:00+00:00,,,,0.0,19,0.0,0.0
2022-08-29 00:00:00+00:00,,,,0.0,121,0.0,0.0
2022-08-30 00:00:00+00:00,,,,0.0,63,0.0,0.0
2022-08-31 00:00:00+00:00,,,,0.0,22,0.0,0.0
2022-09-01 00:00:00+00:00,,,,0.0,138,0.0,0.0
2022-09-02 00:00:00+00:00,,,,0.0,56,0.0,0.0
2022-09-03 00:00:00+00:00,,,,0.0,184,0.0,0.0
2022-09-04 00:00:00+00:00,,,,0.0,48,0.0,0.0
2022-09-05 00:00:00+00:00,,,,0.0,165,0.0,0.0
2022-09-06 00:00:00+00:00,,,,0.0,29,0.0,0.0
2022-09-07 00:00:00+00:00,,,,0.0,81,0.0,0.0
2022-09-08 00:00:00+00:00,,,,0.0,140,0.0,0.0
