TIMESTAMP,BABYPEPE_OPEN_PRICE_USD,BABYPEPE_HIGH_PRICE_USD,BABYPEPE_LOW_PRICE_USD,BABYPEPE_CLOSE_PRICE_USD,BABYPEPE_VOLUME_USD,BABYPEPE_DIVIDENDS_USD,BABYPEPE_STOCK_SPLITS_USD
2023-10-22 00:00:00+00:00,,,,0.0,2528,0.0,0.0
2023-10-23 00:00:00+00:00,,,,0.0,7803,0.0,0.0
2023-10-24 00:00:00+00:00,,,,0.0,15320,0.0,0.0
2023-10-25 00:00:00+00:00,,,,0.0,35335,0.0,0.0
2023-10-26 00:00:00+00:00,,,,0.0,14410,0.0,0.0
2023-10-27 00:00:00+00:00,,,,0.0,9638,0.0,0.0
2023-10-28 00:00:00+00:00,,,,0.0,2861,0.0,0.0
2023-10-29 00:00:00+00:00,,,,0.0,1731,0.0,0.0
2023-10-30 00:00:00+00:00,,,,0.0,3857,0.0,0.0
2023-10-31 00:00:00+00:00,,,,0.0,2936,0.0,0.0
2023-11-01 00:00:00+00:00,,,,0.0,4314,0.0,0.0
2023-11-02 00:00:00+00:00,,,,0.0,1952,0.0,0.0
2023-11-03 00:00:00+00:00,,,,0.0,2828,0.0,0.0
2023-11-04 00:00:00+00:00,,,,0.0,37739,0.0,0.0
2023-11-05 00:00:00+00:00,,,,0.0,9636,0.0,0.0
2023-11-06 00:00:00+00:00,,,,0.0,5364,0.0,0.0
2023-11-07 00:00:00+00:00,,,,0.0,10557,0.0,0.0
2023-11-08 00:00:00+00:00,,,,0.0,11122,0.0,0.0
2023-11-09 00:00:00+00:00,,,,0.0,17551,0.0,0.0
2023-11-10 00:00:00+00:00,,,,0.0,5769,0.0,0.0
2023-11-11 00:00:00+00:00,,,,0.0,8367,0.0,0.0
2023-11-12 00:00:00+00:00,,,,0.0,26094,0.0,0.0
2023-11-13 00:00:00+00:00,,,,0.0,2075,0.0,0.0
2023-11-14 00:00:00+00:00,,,,0.0,6033,0.0,0.0
2023-11-15 00:00:00+00:00,,,,0.0,5354,0.0,0.0
2023-11-16 00:00:00+00:00,,,,0.0,3943,0.0,0.0
2023-11-17 00:00:00+00:00,,,,0.0,9110,0.0,0.0
2023-11-18 00:00:00+00:00,,,,0.0,4735,0.0,0.0
2023-11-19 00:00:00+00:00,,,,0.0,5370,0.0,0.0
2023-11-20 00:00:00+00:00,,,,0.0,7842,0.0,0.0
2023-11-21 00:00:00+00:00,,,,0.0,2315,0.0,0.0
2023-11-22 00:00:00+00:00,,,,0.0,3780,0.0,0.0
2023-11-23 00:00:00+00:00,,,,0.0,841,0.0,0.0
2023-11-24 00:00:00+00:00,,,,0.0,3795,0.0,0.0
2023-11-25 00:00:00+00:00,,,,0.0,3856,0.0,0.0
2023-11-26 00:00:00+00:00,,,,0.0,1238,0.0,0.0
2023-11-27 00:00:00+00:00,,,,0.0,12749,0.0,0.0
2023-11-28 00:00:00+00:00,,,,0.0,18925,0.0,0.0
2023-11-29 00:00:00+00:00,,,,0.0,17277,0.0,0.0
2023-11-30 00:00:00+00:00,,,,0.0,13514,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,2959,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,7157,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,12706,0.0,0.0
2023-12-04 00:00:00+00:00,,,,0.0,8884,0.0,0.0
2023-12-05 00:00:00+00:00,,,,0.0,8223,0.0,0.0
2023-12-06 00:00:00+00:00,,,,0.0,6871,0.0,0.0
2023-12-07 00:00:00+00:00,,,,0.0,2704,0.0,0.0
2023-12-08 00:00:00+00:00,,,,0.0,1074,0.0,0.0
2023-12-09 00:00:00+00:00,,,,0.0,3981,0.0,0.0
2023-12-10 00:00:00+00:00,,,,0.0,1542,0.0,0.0
2023-12-11 00:00:00+00:00,,,,0.0,26736,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,11815,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,9081,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,3614,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,11907,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,5229,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,29046,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,39627,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,28962,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,31876,0.0,0.0
