TIMESTAMP,ETH_MARKET_CAP_USD,ETH_PRICE_USD,ETH_SUPPLY
2016-08-23,916848806.439375,11.01,83274187.6875
2016-08-24,917204136.9862499,11.01,83306461.125
2016-08-25,945893073.1125001,11.35,83338596.75
2016-08-26,938751471.439375,11.26,83370468.15625
2016-08-27,933277047.354375,11.19,83402774.5625
2016-08-28,916948479.8184376,10.99,83434802.53125
2016-08-29,913960681.865625,10.95,83466728.9375
2016-08-30,936019348.3878125,11.21,83498603.78125
2016-08-31,964780027.509375,11.55,83530738.3125
2016-09-01,1020297917.43,12.21,83562483.0
2016-09-02,1009825994.115,12.08,83594867.0625
2016-09-03,990972401.55,11.85,83626363.0
2016-09-04,979637838.901875,11.71,83658227.0625
2016-09-05,983362396.8125,11.75,83690416.75
2016-09-06,979548548.4281249,11.7,83722098.15625
2016-09-07,970713101.5778124,11.59,83754365.96875
2016-09-08,954325667.266875,11.39,83786274.5625
2016-09-09,982352719.6474999,11.72,83818491.4375
2016-09-10,1010396380.8531251,12.05,83850322.0625
2016-09-11,976394337.36375,11.64,83882675.03125
2016-09-12,997748304.423125,11.89,83914912.0625
2016-09-13,1000646057.5224999,11.92,83946816.90625
2016-09-14,1005232767.5053123,11.97,83979345.65625
2016-09-15,1004777880.4862499,11.96,84011528.46875
2016-09-16,1059791908.5690624,12.61,84043767.53125
2016-09-17,1078694086.0759375,12.83,84075922.53125
2016-09-18,1042067100.860625,12.39,84105496.4375
2016-09-19,1087927268.930625,12.93,84139773.3125
2016-09-20,1239015752.76,14.72,84172265.8125
2016-09-21,1155283675.9975,13.72,84204349.5625
2016-09-22,1104333372.508125,13.11,84235955.1875
2016-09-23,1125850342.105,13.36,84270235.1875
2016-09-24,1088358960.0034378,12.91,84303560.03125
2016-09-25,1100610254.0249999,13.05,84337950.5
2016-09-26,1087530347.7153125,12.89,84370081.28125
2016-09-27,1104866236.4403124,13.09,84405365.65625
2016-09-28,1123022328.9468749,13.3,84437769.09375
2016-09-29,1112470986.9365625,13.17,84470082.53125
2016-09-30,1118802584.9575,13.24,84501705.8125
2016-10-01,1116722996.0065625,13.21,84536184.40625
2016-10-02,1118886834.830625,13.23,84571945.1875
2016-10-03,1137940205.2171876,13.45,84605219.71875
2016-10-04,1127368451.385,13.32,84637271.125
2016-10-05,1108334916.6793752,13.09,84670352.6875
2016-10-06,1090130114.019375,12.87,84703194.5625
2016-10-07,1074499984.8274999,12.68,84739746.4375
2016-10-08,1037656295.37,12.24,84775841.125
2016-10-09,1022799757.005,12.06,84809266.75
2016-10-10,996049748.85125,11.74,84842397.6875
2016-10-11,997279807.3203125,11.75,84874877.21875
2016-10-12,999366805.42875,11.77,84907969.875
2016-10-13,1021012409.4225,12.02,84942796.125
2016-10-14,1011210947.5124999,11.9,84975709.875
2016-10-15,1016694688.0675,11.96,85007917.0625
2016-10-16,1014537309.18375,11.93,85040847.375
2016-10-17,1019177237.7462499,11.98,85073225.1875
2016-10-18,1063831818.7499999,12.5,85106545.5
2016-10-19,1019973548.34625,11.98,85139695.1875
2016-10-20,1026349402.2125001,12.05,85174224.25
2016-10-21,1028440658.0787499,12.07,85206351.125
2016-10-22,1027970928.601875,12.06,85238053.78125
2016-10-23,1018969158.5921875,11.95,85269385.65625
2016-10-24,1017646269.0478125,11.93,85301447.53125
2016-10-25,971090815.27125,11.38,85333112.0625
2016-10-26,981698292.78125,11.5,85365068.9375
2016-10-27,976082154.305625,11.43,85396513.9375
2016-10-28,946537730.44,11.08,85427593.0
2016-10-29,887900542.0996876,10.39,85457222.53125
2016-10-30,959188633.26,11.22,85489183.0
2016-10-31,933036338.3675,10.91,85521204.25
2016-11-01,919680803.890625,10.75,85551702.6875
2016-11-02,926006379.8568751,10.82,85582844.71875
2016-11-03,929768698.726875,10.86,85614060.65625
2016-11-04,953228674.7025,11.13,85644984.25
2016-11-05,951864901.5596876,11.11,85676408.78125
2016-11-06,940219052.044375,10.97,85708208.9375
2016-11-07,934582001.2,10.9,85741468.0
2016-11-08,931503415.7362499,10.86,85773795.1875
2016-11-09,912963045.7325,10.64,85804797.53125
2016-11-10,902994807.4475,10.52,85836008.3125
2016-11-11,883575007.704375,10.29,85867347.6875
2016-11-12,855557004.9675,9.96,85899297.6875
2016-11-13,870488342.9103125,10.13,85931721.90625
2016-11-14,859636061.25,10.0,85963606.125
