,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
337,9,750,0.05,1,2.1058924074313906e-06,0.01
338,12,2250,0.15,1,2.111299132964162e-06,0.01
339,14,3000,0.15,1,2.1176399707219526e-06,0.01
340,8,500,0.05,1,2.140575578509895e-06,0.01
341,9,1250,0.25,1,2.196918660665788e-06,0.01
342,8,500,0.1,1,2.241407726940834e-06,0.01
343,14,3500,0.3,1,2.312881101620155e-06,0.01
344,10,1750,0.2,1,2.4381282357488813e-06,0.01
345,13,2750,0.25,1,2.4710003174331412e-06,0.01
346,13,2250,0.2,1,2.478831938145208e-06,0.01
347,6,250,0.1,1,2.5120063322331517e-06,0.01
348,9,1000,0.2,1,2.725967827434138e-06,0.01
349,13,2500,0.25,1,2.7298884874421637e-06,0.01
350,12,2500,0.3,1,2.7474248265644117e-06,0.01
351,13,2500,0.3,1,2.8194181740942342e-06,0.01
352,12,2250,0.1,1,2.825332351925551e-06,0.01
353,7,250,0.05,1,2.8312618453182695e-06,0.01
354,9,1000,0.15,1,2.8647970097439115e-06,0.01
355,13,2250,0.15,1,2.907466750310511e-06,0.01
356,15,2250,0.05,1,3.0029179679867694e-06,0.01
357,15,3250,0.2,1,3.058148936464165e-06,0.01
358,10,1500,0.1,1,3.105947235961031e-06,0.01
359,11,2000,0.15,1,3.1724965942669334e-06,0.01
360,11,1500,0.05,1,3.4423147016258374e-06,0.01
361,11,1750,0.2,1,3.4894132440618594e-06,0.01
362,14,2250,0.05,1,3.7088674279956642e-06,0.01
363,10,1750,0.15,1,3.810436447034693e-06,0.01
364,11,1500,0.15,1,3.810860638581589e-06,0.01
365,14,3500,0.25,1,3.933030985828197e-06,0.01
366,6,250,0.3,1,3.947967305973184e-06,0.01
367,8,1250,0.25,1,3.98267306915152e-06,0.01
368,10,1500,0.15,1,4.0293276851135685e-06,0.01
369,13,2000,0.1,1,4.385176524359909e-06,0.01
370,11,1750,0.25,1,4.445414175123262e-06,0.01
371,12,2500,0.2,1,4.5076492459274524e-06,0.01
372,9,1500,0.25,1,4.597332625732416e-06,0.01
373,15,4250,0.3,1,4.640501886710572e-06,0.01
374,12,3000,0.25,1,4.67433572193651e-06,0.01
375,12,2000,0.05,1,4.887327095349037e-06,0.01
376,9,1000,0.05,1,4.986690095101215e-06,0.01
377,11,2000,0.3,1,5.024174204979007e-06,0.01
378,6,250,0.25,1,5.267307522142395e-06,0.01
379,11,2250,0.3,1,5.2719856744888185e-06,0.01
380,11,2250,0.25,1,5.453096161036104e-06,0.01
381,11,1250,0.05,1,5.796029630233991e-06,0.01
382,14,3250,0.2,1,6.048818605364061e-06,0.01
383,11,1750,0.1,1,6.247871298302378e-06,0.01
384,11,2000,0.25,1,6.283417106503398e-06,0.01
385,13,2500,0.2,1,6.330946145267092e-06,0.01
386,12,3250,0.3,1,6.513664773019741e-06,0.01
387,11,1750,0.15,1,6.646512036796069e-06,0.01
388,13,3000,0.3,1,7.42225772754798e-06,0.01
389,15,3750,0.3,1,7.5022133955502905e-06,0.01
390,13,3750,0.3,1,7.989555404721022e-06,0.01
391,7,500,0.1,1,8.144100099942263e-06,0.01
392,10,1750,0.1,1,8.152746260338722e-06,0.01
393,11,2000,0.2,1,8.236457240270442e-06,0.01
394,11,2500,0.25,1,8.539315688633457e-06,0.01
395,13,3250,0.3,1,8.568325454033533e-06,0.01
396,15,250,0.0,1,8.621092852295166e-06,0.01
397,9,1000,0.25,1,8.711426025156449e-06,0.01
398,14,250,0.0,1,8.723142906706408e-06,0.01
399,13,250,0.0,1,8.765213749105724e-06,0.01
400,12,250,0.0,1,8.874069537369296e-06,0.01
401,8,750,0.05,1,9.027709912403153e-06,0.01
402,12,2500,0.25,1,9.144720546089914e-06,0.01
403,11,250,0.0,1,9.22924525993476e-06,0.01
404,10,250,0.0,1,9.675316668138048e-06,0.01
405,8,750,0.15,1,9.723436569420322e-06,0.01
406,11,2000,0.05,1,9.822388082065282e-06,0.01
407,10,2000,0.2,1,9.887626400758743e-06,0.01
408,8,750,0.25,1,1.040123941547588e-05,0.01
409,12,2750,0.25,1,1.0769073551007825e-05,0.01
410,9,250,0.0,1,1.1147436878615898e-05,0.01
411,14,4000,0.3,1,1.1214167860554605e-05,0.01
412,8,750,0.1,1,1.1598825572090028e-05,0.01
413,12,2000,0.1,1,1.176204225545966e-05,0.01
414,10,1750,0.05,1,1.1880238070859254e-05,0.01
415,13,2750,0.1,1,1.1934786765929832e-05,0.01
416,11,2250,0.15,1,1.1961045280685092e-05,0.01
417,15,3000,0.1,1,1.2004944732808252e-05,0.01
418,6,250,0.2,1,1.2141508846864765e-05,0.01
419,15,3250,0.15,1,1.2442360341145806e-05,0.01
420,7,500,0.25,1,1.2642822512505852e-05,0.01
421,9,1000,0.1,1,1.3274151563492065e-05,0.01
422,13,3000,0.25,1,1.3457751928116614e-05,0.01
423,7,500,0.2,1,1.36797122190017e-05,0.01
424,14,3500,0.1,1,1.3706273553239687e-05,0.01
425,14,2500,0.05,1,1.3791203763192551e-05,0.01
