TIMESTAMP,GUI_OPEN_PRICE_USD,GUI_HIGH_PRICE_USD,GUI_LOW_PRICE_USD,GUI_CLOSE_PRICE_USD,GUI_VOLUME_USD,GUI_DIVIDENDS_USD,GUI_STOCK_SPLITS_USD
2024-11-29 00:00:00+00:00,2.9999999242136255e-05,3.300000025774352e-05,2.9999999242136255e-05,3.099999958067201e-05,457684,0.0,0.0
2024-11-30 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.9999999242136255e-05,3.099999958067201e-05,427718,0.0,0.0
2024-12-01 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,355655,0.0,0.0
2024-12-02 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.700000004551839e-05,2.9999999242136255e-05,487223,0.0,0.0
2024-12-03 00:00:00+00:00,2.9999999242136255e-05,3.600000127335079e-05,2.9999999242136255e-05,3.600000127335079e-05,739916,0.0,0.0
2024-12-04 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.099999958067201e-05,3.199999991920777e-05,589675,0.0,0.0
2024-12-05 00:00:00+00:00,3.199999991920777e-05,3.5000000934815034e-05,2.9999999242136255e-05,3.199999991920777e-05,537705,0.0,0.0
2024-12-06 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.300000025774352e-05,303108,0.0,0.0
2024-12-07 00:00:00+00:00,3.300000025774352e-05,3.5000000934815034e-05,3.300000025774352e-05,3.5000000934815034e-05,357063,0.0,0.0
2024-12-08 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.099999958067201e-05,3.300000025774352e-05,314899,0.0,0.0
2024-12-09 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,2.499999936844688e-05,2.700000004551839e-05,693931,0.0,0.0
2024-12-10 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.499999936844688e-05,2.700000004551839e-05,504329,0.0,0.0
2024-12-11 00:00:00+00:00,2.700000004551839e-05,3.7000001611886546e-05,2.5999999706982635e-05,3.7000001611886546e-05,629778,0.0,0.0
2024-12-12 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.199999991920777e-05,3.400000059627928e-05,855908,0.0,0.0
2024-12-13 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,3.199999991920777e-05,3.5000000934815034e-05,498940,0.0,0.0
2024-12-14 00:00:00+00:00,3.5000000934815034e-05,3.7999998312443495e-05,3.400000059627928e-05,3.400000059627928e-05,523404,0.0,0.0
2024-12-15 00:00:00+00:00,3.400000059627928e-05,4.199999966658652e-05,3.199999991920777e-05,3.9999998989515007e-05,858500,0.0,0.0
2024-12-16 00:00:00+00:00,3.9999998989515007e-05,4.70000013592653e-05,3.7999998312443495e-05,4.400000034365803e-05,1136213,0.0,0.0
2024-12-17 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,3.9999998989515007e-05,4.199999966658652e-05,824005,0.0,0.0
2024-12-18 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.400000059627928e-05,3.7000001611886546e-05,831282,0.0,0.0
2024-12-19 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,3.199999991920777e-05,3.199999991920777e-05,1469388,0.0,0.0
2024-12-20 00:00:00+00:00,3.199999991920777e-05,3.600000127335079e-05,2.9999999242136255e-05,3.199999991920777e-05,986484,0.0,0.0
2024-12-21 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.5999999706982635e-05,2.700000004551839e-05,804780,0.0,0.0
2024-12-22 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05,275338,0.0,0.0
2024-12-23 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.9000000722589903e-05,263990,0.0,0.0
2024-12-24 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,248348,0.0,0.0
2024-12-25 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,148449,0.0,0.0
2024-12-26 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.499999936844688e-05,2.499999936844688e-05,132086,0.0,0.0
2024-12-27 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,191000,0.0,0.0
