,Time,BTC_Median_Transaction_Fee_USD,ETH_Median_Transaction_Fee_USD,XRP_Median_Transaction_Fee_USD,DOGE_Median_Transaction_Fee_USD,LTC_Median_Transaction_Fee_USD,BCH_Median_Transaction_Fee_USD,XMR_Median_Transaction_Fee_USD,DASH_Median_Transaction_Fee_USD,ZEC_Median_Transaction_Fee_USD
1605,2014-12-08,0.0369,,,0.000219,0.00366,,,0.00229,
1606,2014-12-09,0.0353,,,0.000209,0.00355,,,0.00224,
1607,2014-12-10,0.0349,,,0.000205,0.0035,,,0.00224,
1608,2014-12-11,0.0352,,,0.000203,0.00349,,,0.00227,
1609,2014-12-12,0.0351,,,0.000202,0.00347,,,0.00226,
1610,2014-12-13,0.0347,,,0.000198,0.00346,,,0.00222,
1611,2014-12-14,0.0348,,,0.00019,0.00348,,,0.00222,
1612,2014-12-15,0.0347,,,0.000184,0.00346,,,0.00218,
1613,2014-12-16,0.0335,,,0.00017,0.00318,,,0.00204,
1614,2014-12-17,0.0323,,,0.000177,0.00298,,,0.00191,
1615,2014-12-18,0.0313,,,0.000178,0.00285,,,0.00183,
1616,2014-12-19,0.0312,,,0.000189,0.00282,,,0.00182,
1617,2014-12-20,0.0325,,,0.000202,0.00293,,,0.00197,
1618,2014-12-21,0.0324,,,0.000191,0.00288,,,0.00194,
1619,2014-12-22,0.0328,,,0.000191,0.00287,,,0.00193,
1620,2014-12-23,0.0333,,,0.000193,0.00288,,,0.00191,
1621,2014-12-24,0.0329,,,0.00019,0.00281,,,0.00187,
1622,2014-12-25,0.0319,,,0.000183,0.0027,,,0.00187,
1623,2014-12-26,0.0323,,,0.000186,0.00276,,,0.00185,
1624,2014-12-27,0.0319,,,0.000183,0.00274,,,0.00194,
1625,2014-12-28,0.0315,,,0.000179,0.00273,,,0.00195,
1626,2014-12-29,0.0315,,,0.000178,0.0027,,,0.00193,
1627,2014-12-30,0.0312,,,0.000178,0.0027,,,0.0019,
1628,2014-12-31,0.0313,,,0.00018,0.00271,,,0.00191,
1629,2015-01-01,0.0316,,,0.000182,0.00271,,,0.00195,
1630,2015-01-02,0.0314,,,0.000182,0.00268,,,0.00192,
1631,2015-01-03,0.0304,,,0.000174,0.00239,,,0.00184,
1632,2015-01-04,0.0275,,,0.000164,0.00205,,,0.00167,
1633,2015-01-05,0.0272,,,0.000159,0.00209,,,0.00165,
1634,2015-01-06,0.0276,,,0.000162,0.00209,,,0.00166,
1635,2015-01-07,0.0287,,,0.000171,0.00213,,,0.00172,
1636,2015-01-08,0.0288,,,0.000169,0.00207,,,0.00171,
1637,2015-01-09,0.0284,,,0.000167,0.002,,,0.0017,
1638,2015-01-10,0.028,,,0.000163,0.00181,,,0.00168,
1639,2015-01-11,0.0273,,,0.000159,0.00178,,,0.00165,
1640,2015-01-12,0.0269,,,0.000156,0.00174,,,0.00164,
1641,2015-01-13,0.0239,,,0.000141,0.00159,,,0.00145,
1642,2015-01-14,0.0198,,,0.000125,0.00135,,,0.00118,
1643,2015-01-15,0.0206,,,0.000137,0.00131,,,0.00125,
1644,2015-01-16,0.0212,,,0.000139,0.00139,,,0.00132,
1645,2015-01-17,0.0201,,,0.000136,0.00132,,,0.00121,
1646,2015-01-18,0.0206,,,0.000137,0.00132,,,0.000507,
1647,2015-01-19,0.0212,,,0.000138,0.00134,,,0.000133,
1648,2015-01-20,0.0211,,,0.000141,0.00133,,,0.000135,
1649,2015-01-21,0.0215,,,0.000146,0.00135,,,0.00015,
1650,2015-01-22,0.0232,,,0.000153,0.00143,,,0.000163,
1651,2015-01-23,0.023,,,0.000151,0.00142,,,0.000159,
1652,2015-01-24,0.0237,,,0.000157,0.00155,,,0.000163,
1653,2015-01-25,0.0249,,,0.000161,0.00215,,,,
1654,2015-01-26,0.0281,,,0.000167,0.00223,,,0.000193,
1655,2015-01-27,0.0261,,,0.000154,,,,0.000177,
1656,2015-01-28,0.0253,,,0.000146,,,,0.000175,
1657,2015-01-29,0.0232,,,0.000139,0.00191,,,0.000164,
1658,2015-01-30,0.0232,,,0.00014,0.00193,,,0.000164,
1659,2015-01-31,0.0228,,,0.000141,0.00192,,,5.88e-05,
1660,2015-02-01,0.0218,,,0.000137,0.00179,,,0.000165,
1661,2015-02-02,0.0227,,,0.000141,0.00179,,,0.000185,
1662,2015-02-03,0.0237,,,0.000147,0.00188,,,0.000188,
1663,2015-02-04,0.0225,,,0.000143,0.0018,,,0.00018,
1664,2015-02-05,0.0222,,,0.000142,0.00178,,,0.000178,
1665,2015-02-06,0.022,,,0.00014,0.00178,,,0.000177,
1666,2015-02-07,0.0226,,,0.000144,,,,0.000183,
1667,2015-02-08,0.0225,,,0.000142,,,,0.000182,
1668,2015-02-09,0.0221,,,0.000139,,,,0.000212,
1669,2015-02-10,0.0218,,,0.000137,,,,0.000223,
1670,2015-02-11,0.0221,,,0.000138,,,,0.000288,
1671,2015-02-12,0.0219,,,0.000138,,,,0.000309,
1672,2015-02-13,0.0232,,,0.000141,,,,0.000305,
1673,2015-02-14,0.0246,,,0.000143,0.00187,,,0.0003,
1674,2015-02-15,0.025,,,0.000147,0.00191,,,0.000272,
1675,2015-02-16,0.0235,,,0.000141,0.00182,,,0.000278,
1676,2015-02-17,0.0239,,,0.000143,0.00183,,,0.000272,
1677,2015-02-18,0.024,,,0.000141,,,,0.000262,
1678,2015-02-19,0.0238,,,0.000142,,,,0.000274,
1679,2015-02-20,0.0243,,,0.000141,0.00185,,,0.000273,
1680,2015-02-21,0.0244,,,0.00014,0.00185,,,0.000272,
1681,2015-02-22,0.0241,,,0.00014,0.00183,,,0.000263,
1682,2015-02-23,0.0236,,,0.000136,0.0018,,,0.000249,
1683,2015-02-24,0.0238,,,0.000137,0.00181,,,0.000259,
1684,2015-02-25,0.0237,,,0.000138,0.00018,,,0.000275,
1685,2015-02-26,0.0236,,,0.000137,0.0018,,,0.00027,
1686,2015-02-27,0.025,,,0.000141,,,,0.000295,
1687,2015-02-28,0.0253,,,0.000139,,,,0.00031,
1688,2015-03-01,0.0251,,,0.000138,,,,0.000324,
1689,2015-03-02,0.0262,,,0.00014,0.00191,,,0.000339,
1690,2015-03-03,0.0275,,,0.000138,0.00194,,,0.000352,
1691,2015-03-04,0.0279,,,0.00014,,,,0.000358,
1692,2015-03-05,0.027,,,0.000137,0.00191,,,0.000341,
1693,2015-03-06,0.0273,,,0.000138,0.00191,,,0.000338,
1694,2015-03-07,0.0273,,,0.000139,0.00191,,,0.000337,
1695,2015-03-08,0.0275,,,0.000138,0.00191,,,0.000339,
1696,2015-03-09,0.0282,,,0.000139,0.00192,,,0.000348,
1697,2015-03-10,0.0294,,,0.000139,0.00202,,,0.000314,
1698,2015-03-11,0.0294,,,0.000141,0.00201,,,0.000323,
1699,2015-03-12,0.0294,,,0.000143,0.00202,,,0.000312,
1700,2015-03-13,0.0291,,,0.000141,0.00203,,,0.000299,
1701,2015-03-14,0.0283,,,0.000139,0.002,,,0.000295,
1702,2015-03-15,0.0284,,,0.000139,0.002,,,0.000302,
1703,2015-03-16,0.0291,,,0.000142,0.00204,,,0.000317,
1704,2015-03-17,0.0289,,,0.000141,0.00202,,,0.000327,
1705,2015-03-18,0.0274,,,0.000137,0.0019,,,0.000327,
1706,2015-03-19,0.0257,,,0.00013,0.00176,,,0.000326,
1707,2015-03-20,0.0261,,,0.000131,0.00177,,,0.000348,
1708,2015-03-21,0.0259,,,0.000129,0.00172,,,0.000427,
1709,2015-03-22,0.0262,,,0.000131,0.00176,,,0.000461,
1710,2015-03-23,0.0267,,,0.000135,0.00179,,,0.000462,
1711,2015-03-24,0.0256,,,0.000132,0.00173,,,0.00049,
1712,2015-03-25,0.0245,,,0.000128,0.00167,,,0.000527,
1713,2015-03-26,0.0249,,,0.000131,0.0017,,,0.000518,
1714,2015-03-27,0.0247,,,0.000129,0.00169,,,0.000488,
1715,2015-03-28,0.0251,,,0.000128,0.0017,,,0.000484,
1716,2015-03-29,0.0245,,,0.000124,0.00167,,,0.000472,
1717,2015-03-30,0.0245,,,0.000125,0.00166,,,0.000438,
1718,2015-03-31,0.0245,,,0.000125,0.00166,,,0.000414,
1719,2015-04-01,0.0243,,,0.000124,0.00164,,,0.000381,
1720,2015-04-02,0.0248,,,0.000127,0.00167,,,0.000412,
1721,2015-04-03,0.0254,,,0.000127,0.00169,,,0.000443,
1722,2015-04-04,0.0253,,,0.000125,0.00168,,,0.000417,
1723,2015-04-05,0.0255,,,0.000122,0.00169,,,0.000406,
1724,2015-04-06,0.0258,,,0.00012,0.00169,,,0.000414,
1725,2015-04-07,0.0253,,,0.000118,0.00167,,,0.000399,
1726,2015-04-08,0.0248,,,0.000117,0.00164,,,0.000371,
1727,2015-04-09,0.0244,,,0.000115,0.0016,,,0.000354,
1728,2015-04-10,0.0238,,,0.000112,0.00155,,,0.000328,
1729,2015-04-11,0.0236,,,0.000111,0.00151,,,0.000335,
1730,2015-04-12,0.0236,,,0.000112,0.00147,,,0.000335,
1731,2015-04-13,0.0232,,,0.000108,0.00145,,,0.000322,
1732,2015-04-14,0.022,,,0.000101,0.00136,,,0.00031,
1733,2015-04-15,0.0221,,,0.000102,0.00138,,,0.000307,
1734,2015-04-16,0.0227,,,0.000104,0.0014,,,0.000304,
1735,2015-04-17,0.0224,,,0.000105,0.00141,,,0.000289,
1736,2015-04-18,0.0222,,,0.000106,0.0014,,,0.000288,
1737,2015-04-19,0.0224,,,0.000106,0.00141,,,0.000285,
1738,2015-04-20,0.0224,,,0.000105,0.0014,,,0.000274,
1739,2015-04-21,0.0226,,,0.000103,0.00141,,,0.000276,
1740,2015-04-22,0.0235,,,0.000109,0.00145,,,0.000313,
1741,2015-04-23,0.0234,,,0.000108,0.00145,,,0.000351,
1742,2015-04-24,0.0232,,,0.000104,0.00143,,,0.000334,
1743,2015-04-25,0.0228,,,0.000102,0.0014,,,0.000318,
1744,2015-04-26,0.0219,,,9.86e-05,0.00135,,,0.0003,
1745,2015-04-27,0.0221,,,0.000102,0.00134,,,0.000301,
1746,2015-04-28,0.0226,,,0.0001,0.00137,,,0.000295,
1747,2015-04-29,0.0225,,,9.86e-05,0.00136,,,,
1748,2015-04-30,0.0232,,,0.000102,0.00141,,,2.95e-05,
1749,2015-05-01,0.0235,,,9.92e-05,0.00143,,,0.000281,
1750,2015-05-02,0.0234,,,9.71e-05,0.00142,,,0.000278,
1751,2015-05-03,0.024,,,9.26e-05,0.00143,,,0.000276,
1752,2015-05-04,0.024,,,9.04e-05,0.00143,,,0.000287,
1753,2015-05-05,0.0236,,,8.86e-05,0.0014,,,2.84e-08,
1754,2015-05-06,0.0235,,,8.8e-05,0.0014,,,2.92e-06,
1755,2015-05-07,0.0232,,,8.8e-05,0.00141,,,0.000279,
1756,2015-05-08,0.024,,,9.04e-05,0.00146,,,0.000277,
1757,2015-05-09,0.0243,,,9.1e-05,0.00146,,,0.000275,
1758,2015-05-10,0.0241,,,9.09e-05,0.00144,,,0.000271,
1759,2015-05-11,0.0241,,,9.12e-05,0.00144,,,0.000272,
1760,2015-05-12,0.0241,,,0.000108,0.00144,,,0.000273,
1761,2015-05-13,0.0242,,,0.000111,0.00145,,,0.000274,
1762,2015-05-14,0.0236,,,0.000113,0.00144,,,0.000271,
1763,2015-05-15,0.0237,,,0.000119,0.00145,,,0.000287,
1764,2015-05-16,0.0237,,,0.000118,0.00146,,,0.000295,
1765,2015-05-17,0.0237,,,0.000115,0.00145,,,0.000296,
1766,2015-05-18,0.0236,,,0.000115,0.00145,,,0.000288,
1767,2015-05-19,0.0233,,,0.00012,0.00144,,,0.000285,
1768,2015-05-20,0.0233,,,0.000132,0.00145,,,0.000288,
1769,2015-05-21,0.0235,,,0.000131,0.00147,,,,
1770,2015-05-22,0.0237,,,0.000132,0.00162,,,0.000287,
1771,2015-05-23,0.024,,,0.000138,0.00183,,,0.00029,
1772,2015-05-24,0.024,,,0.00014,0.00181,,,0.000289,
1773,2015-05-25,0.0239,,,0.000143,0.00181,,,,
1774,2015-05-26,0.0237,,,0.000152,0.0018,,,0.000278,
1775,2015-05-27,0.0237,,,0.000178,0.00184,,,,
1776,2015-05-28,0.0237,,,0.000191,0.00184,,,,
1777,2015-05-29,0.0237,,,0.00018,0.00183,,,0.000278,
1778,2015-05-30,0.0234,,,0.000163,0.00181,,,0.000276,
1779,2015-05-31,0.0232,,,0.000158,0.00172,,,0.000276,
1780,2015-06-01,0.0227,,,0.000149,0.00163,,,0.000273,
1781,2015-06-02,0.0224,,,0.000153,0.00163,,,,
1782,2015-06-03,0.0226,,,0.000153,0.00168,,,0.00028,
1783,2015-06-04,0.0225,,,0.000151,0.00167,,,2.77e-05,
1784,2015-06-05,0.0225,,,0.000151,0.0017,,,0.000278,
1785,2015-06-06,0.0225,,,0.000156,0.00176,,,,
1786,2015-06-07,0.0225,,,0.000156,0.00175,,,,
1787,2015-06-08,0.0226,,,0.000156,0.00176,,,0.000284,
1788,2015-06-09,0.0229,,,0.000162,0.0018,,,,
1789,2015-06-10,0.0229,,,0.000154,0.00178,,,,
1790,2015-06-11,0.023,,,0.000154,0.00178,,,,
1791,2015-06-12,0.0231,,,0.000156,0.0018,,,,
1792,2015-06-13,0.0231,,,0.000159,0.00182,,,,
1793,2015-06-14,0.0234,,,0.000167,0.00196,,,,
1794,2015-06-15,0.0236,,,0.000165,0.002,,,,
1795,2015-06-16,0.0242,,,0.000182,0.0023,,,0.000282,
1796,2015-06-17,0.0251,,,0.000203,0.00294,,,,
1797,2015-06-18,0.0248,,,0.000202,0.00303,,,,
1798,2015-06-19,0.0247,,,0.000205,0.00292,,,,
1799,2015-06-20,0.0243,,,0.000199,,,,0.000286,
1800,2015-06-21,0.0243,,,0.000198,,,,0.000286,
1801,2015-06-22,0.0246,,,0.000198,0.003,,,,
1802,2015-06-23,0.0245,,,0.000188,0.00298,,,,
1803,2015-06-24,0.0243,,,0.000182,0.0029,,,,
1804,2015-06-25,0.0243,,,0.000183,0.00283,,,,
1805,2015-06-26,0.0243,,,0.000183,0.00287,,,,
1806,2015-06-27,0.0246,,,0.000191,0.00295,,,,
1807,2015-06-28,0.025,,,0.000188,0.00308,,,,
1808,2015-06-29,0.0253,,,0.000191,0.00331,,,,
1809,2015-06-30,0.0263,,,0.000198,0.00406,,,1.13e-05,
1810,2015-07-01,0.026,,,0.00019,0.00398,,,,
1811,2015-07-02,0.0258,,,0.000191,0.00409,,,,
1812,2015-07-03,0.0256,,,0.000189,0.00413,,,,
1813,2015-07-04,0.0258,,,0.000188,0.00414,,,,
1814,2015-07-05,0.0265,,,0.000187,0.00425,,,,
1815,2015-07-06,0.0541,,,0.000189,0.00511,,,,
1816,2015-07-07,0.0535,,,0.000184,0.0053,,,,
1817,2015-07-08,0.0537,,,0.000185,0.00571,,,,
1818,2015-07-09,0.027,,,0.000196,0.00705,,,,
1819,2015-07-10,0.0281,,,0.000208,0.00635,,,,
1820,2015-07-11,0.0291,,,0.000194,0.0043,,,,
1821,2015-07-12,0.0304,,,0.000198,0.00504,,,,
1822,2015-07-13,0.0294,,,0.000193,0.0047,,,,
1823,2015-07-14,0.0337,,,0.000189,0.00467,,,,
1824,2015-07-15,0.029,,,0.000188,0.00451,,,,
1825,2015-07-16,0.0282,,,0.000173,0.00372,,,,
1826,2015-07-17,0.0277,,,0.000176,0.00374,,,,
1827,2015-07-18,0.0277,,,0.000175,0.00393,,,0.00038,
1828,2015-07-19,0.0275,,,0.000168,0.00389,,,,
1829,2015-07-20,0.0276,,,0.000167,0.00373,,,,
1830,2015-07-21,0.0279,,,0.000169,0.00376,,,,
1831,2015-07-22,0.0277,,,0.00018,0.0038,,,0.000359,
1832,2015-07-23,0.0277,,,0.000176,0.00381,,,0.000359,
1833,2015-07-24,0.0283,,,0.000182,0.00418,,,,
1834,2015-07-25,0.0289,,,0.000187,0.00465,,,,
1835,2015-07-26,0.0291,,,0.000183,0.00461,,,,
1836,2015-07-27,0.0291,,,0.000181,0.00466,,,,
1837,2015-07-28,0.0294,,,0.000181,0.00503,,,,
1838,2015-07-29,0.0414,,,0.000183,0.00489,,,,
1839,2015-07-30,0.032,,,0.000179,0.00462,,,,
1840,2015-07-31,0.0302,,,0.000181,0.00463,,,,
1841,2015-08-01,0.0281,,,0.000174,0.0043,,,,
1842,2015-08-02,0.028,,,0.00017,0.00405,,,,
1843,2015-08-03,0.0283,,,0.000172,0.00426,,,,
1844,2015-08-04,0.0369,,,0.000169,0.00433,,,,
1845,2015-08-05,0.0334,,,0.000171,0.00435,,,,
1846,2015-08-06,0.0522,,,0.000168,0.00418,,,,
1847,2015-08-07,0.0278,0.00411,,0.000164,0.00414,,,,
1848,2015-08-08,0.0273,0.00211,,0.000161,0.00409,,,0.000319,
1849,2015-08-09,0.0263,0.000973,,0.000158,0.0039,,,,
1850,2015-08-10,0.0265,0.000896,,0.000157,0.00395,,,,
1851,2015-08-11,0.0265,0.000997,,0.000158,0.00402,,,,
1852,2015-08-12,0.0268,0.00136,,0.000156,0.00405,,,,
1853,2015-08-13,0.0264,0.00169,,0.000153,0.0039,,,,
1854,2015-08-14,0.0265,0.00238,,0.000154,0.00399,,,,
1855,2015-08-15,0.0265,0.00217,,0.000153,0.00401,,,,
1856,2015-08-16,0.0259,0.00167,,0.000147,0.00394,,,0.000291,
1857,2015-08-17,0.0258,0.00168,,0.000146,0.00397,,,0.000298,
1858,2015-08-18,0.0254,0.00144,,0.000141,0.00392,,,0.000284,
1859,2015-08-19,0.0232,0.00151,,0.000128,0.00353,,,0.000534,
1860,2015-08-20,0.0233,0.0016,,0.000135,0.00357,,,0.000545,
1861,2015-08-21,0.0233,0.00157,,0.000141,0.00359,,,0.00276,
1862,2015-08-22,0.023,0.00163,,0.000137,0.00354,,,0.0008,
1863,2015-08-23,0.0229,0.00142,,0.000133,0.00348,,,0.00053,
1864,2015-08-24,0.022,0.00137,,0.000126,0.00319,,,0.00251,
1865,2015-08-25,0.0214,0.00125,,0.000122,0.0028,,,0.00329,
1866,2015-08-26,0.0225,0.0012,,0.000132,0.00297,,,0.00127,
1867,2015-08-27,0.0226,0.00122,,0.00013,0.00296,,,0.00392,
1868,2015-08-28,0.0228,0.00122,,0.000128,0.00286,,,0.00257,
1869,2015-08-29,0.023,0.00124,,0.000128,0.0029,,,0.0259,
1870,2015-08-30,0.023,0.00128,,0.000127,0.00286,,,0.0155,
1871,2015-08-31,0.0229,0.00138,,0.000125,0.00284,,,0.000766,
1872,2015-09-01,0.0228,0.00142,,0.000126,0.00283,,,0.000371,
1873,2015-09-02,0.0456,0.00139,,0.000124,0.0028,,,0.000252,
1874,2015-09-03,0.0228,0.00133,,0.000122,0.00271,,,0.000826,
1875,2015-09-04,0.0229,0.00133,,0.000122,0.0027,,,0.000165,
1876,2015-09-05,0.0232,0.00136,,0.000124,0.00277,,,0.000376,
1877,2015-09-06,0.024,0.0014,,0.000128,0.00303,,,0.000988,
1878,2015-09-07,0.0241,0.00135,,0.000126,0.00304,,,9.11e-05,
1879,2015-09-08,0.0243,0.00132,,0.000128,0.00307,,,0.00253,
1880,2015-09-09,0.024,0.00129,,0.000129,0.00298,,,0.00141,
1881,2015-09-10,0.0239,0.00125,,0.000126,0.00294,,,0.000124,
1882,2015-09-11,0.024,0.0011,,0.000127,0.00295,,,8.9e-05,
1883,2015-09-12,0.0238,0.00108,,0.000126,0.00291,,,0.000124,
1884,2015-09-13,0.0233,0.00103,,0.000122,0.00281,,,0.000159,
1885,2015-09-14,0.023,0.000948,,0.000121,0.00283,,,0.00012,
1886,2015-09-15,0.023,0.000964,,0.000122,0.00282,,,0.000121,
1887,2015-09-16,0.0229,0.000969,,0.00012,0.00279,,,8.78e-05,
1888,2015-09-17,0.00997,0.000924,,0.000123,0.00284,,,0.000161,
1889,2015-09-18,0.0233,0.000908,,0.000124,0.00296,,,0.000125,
1890,2015-09-19,0.0232,0.000892,,0.000122,0.00291,,,0.000233,
1891,2015-09-20,0.0231,0.000937,,0.000129,0.00284,,,0.000237,
1892,2015-09-21,0.0228,0.00097,,0.000128,0.0028,,,0.000159,
1893,2015-09-22,0.0229,0.00094,,0.000124,0.00282,,,0.000243,
1894,2015-09-23,0.023,0.000938,,0.00012,0.00286,,,0.000127,
1895,2015-09-24,0.0232,0.000907,,0.000122,0.00289,,,9.04e-05,
1896,2015-09-25,0.0235,0.00081,,0.000121,0.00291,,,0.000127,
1897,2015-09-26,0.0234,0.00077,,0.00012,0.00287,,,0.000143,
1898,2015-09-27,0.0233,0.000784,,0.000119,0.00286,,,0.000122,
1899,2015-09-28,0.0237,0.000688,,0.00012,0.00297,,,0.000194,
1900,2015-09-29,0.0238,0.000648,,0.000121,0.00307,,,8.87e-05,
1901,2015-09-30,0.0237,0.000705,,0.000122,0.003,,,0.000192,
1902,2015-10-01,0.0237,0.000731,,0.000121,0.00299,,,0.000189,
1903,2015-10-02,0.0238,0.00071,,0.00012,0.00299,,,0.000188,
1904,2015-10-03,0.0238,0.000727,,0.000119,0.00301,,,0.000218,
1905,2015-10-04,0.0239,0.000709,,0.000117,0.00301,,,0.000216,
1906,2015-10-05,0.0239,0.000693,,0.000115,0.00299,,,0.000284,
1907,2015-10-06,0.0243,0.000653,,0.000118,0.00305,,,0.000157,
1908,2015-10-07,0.0245,0.000664,,0.000119,0.0031,,,0.000197,
1909,2015-10-08,0.0244,0.000632,,0.000117,0.00306,,,0.000194,
1910,2015-10-09,0.0244,0.000688,,0.000117,0.00309,,,0.000235,
1911,2015-10-10,0.0245,0.000671,,0.000116,0.00311,,,0.000265,
1912,2015-10-11,0.0246,0.000659,,0.000116,0.00312,,,0.000236,
1913,2015-10-12,0.0247,0.000665,,0.000118,0.00315,,,0.000234,
1914,2015-10-13,0.0247,0.000642,,0.000116,0.00315,,,0.000225,
1915,2015-10-14,0.0251,0.000597,,0.000117,0.00315,,,0.000123,
1916,2015-10-15,0.0254,0.000566,,0.000117,0.00311,,,0.00022,
1917,2015-10-16,0.026,0.000575,,0.000116,0.0031,,,0.000232,
1918,2015-10-17,0.0269,0.000565,,0.000116,0.00307,,,0.000232,
1919,2015-10-18,0.0267,0.00056,,0.000115,0.00303,,,0.000232,
1920,2015-10-19,0.0264,0.000526,,0.000115,0.00303,,,0.000235,
1921,2015-10-20,0.0267,0.000514,,0.000116,0.00307,,,0.000229,
1922,2015-10-21,0.0268,0.000466,,0.000114,0.00308,,,0.000158,
1923,2015-10-22,0.0272,0.000478,,0.000115,0.0031,,,0.000221,
1924,2015-10-23,0.0277,0.000574,,0.000112,0.00311,,,0.000193,
1925,2015-10-24,0.028,0.000574,,0.00011,0.0031,,,0.000117,
1926,2015-10-25,0.029,0.000653,,0.000112,0.00311,,,0.00012,
1927,2015-10-26,0.0284,0.000672,,0.000112,0.00309,,,0.000145,
1928,2015-10-27,0.0292,0.000856,,0.000115,0.0031,,,0.000143,
1929,2015-10-28,0.0301,0.000922,,0.00012,0.00309,,,0.000112,
1930,2015-10-29,0.031,0.00112,,0.000129,0.00326,,,0.000288,
1931,2015-10-30,0.0325,0.00119,,0.000136,0.0039,,,0.000186,
1932,2015-10-31,0.0322,0.00101,,0.000127,0.0038,,,0.000163,
1933,2015-11-01,0.0316,0.001,,0.000125,0.00371,,,8.78e-05,
1934,2015-11-02,0.0336,0.00111,,0.000128,0.00391,,,0.000206,
1935,2015-11-03,0.0384,0.00104,,0.000133,0.00435,,,0.000219,
1936,2015-11-04,0.0449,0.00098,,0.000141,0.0048,,,0.000267,
1937,2015-11-05,0.0402,0.000979,,0.000141,0.00395,,,0.000165,
1938,2015-11-06,0.0372,0.000943,,0.000138,0.00356,,,0.000208,
1939,2015-11-07,0.0384,0.000956,,0.000137,0.00357,,,0.000222,
1940,2015-11-08,0.0382,0.001,,0.000134,0.00358,,,0.000218,
1941,2015-11-09,0.0375,0.00108,,0.000131,0.00347,,,0.00025,
1942,2015-11-10,0.0366,0.00103,,0.000134,0.00323,,,0.000203,
1943,2015-11-11,0.0316,0.00089,,0.000126,0.00299,,,0.000221,
1944,2015-11-12,0.0328,0.000894,,0.000129,0.00315,,,0.000127,
1945,2015-11-13,0.0334,0.000925,,0.00013,0.00321,,,0.000251,
1946,2015-11-14,0.0333,0.000936,,0.000132,0.00323,,,0.000131,
1947,2015-11-15,0.0328,0.000947,,0.000129,0.00315,,,0.000123,
1948,2015-11-16,0.0322,0.000959,,0.000132,0.0031,,,8.61e-05,
1949,2015-11-17,0.0335,0.000997,,0.000135,0.00321,,,5.16e-05,
1950,2015-11-18,0.0334,0.00103,,0.000136,0.0033,,,5.21e-05,
1951,2015-11-19,0.0331,0.00103,,0.000135,0.00317,,,8.44e-05,
1952,2015-11-20,0.032,0.000971,,0.000131,0.00311,,,5.02e-05,
1953,2015-11-21,0.0325,0.000995,,0.000134,0.00313,,,5.02e-05,
1954,2015-11-22,0.0324,0.00102,,0.000134,0.00313,,,8.16e-05,
1955,2015-11-23,0.0323,0.001,,0.000133,0.00312,,,0.00011,
1956,2015-11-24,0.0321,0.000982,,0.000133,0.00311,,,9.38e-05,
1957,2015-11-25,0.0322,0.000923,,0.000136,0.00318,,,0.000123,
1958,2015-11-26,0.0342,0.000909,,0.000137,0.00358,,,0.000219,
1959,2015-11-27,0.0356,0.000923,,0.000138,0.00358,,,0.000114,
1960,2015-11-28,0.0355,0.000945,,0.000131,0.00351,,,0.00011,
1961,2015-11-29,0.036,0.000932,,0.000131,0.00355,,,0.000173,
1962,2015-11-30,0.0376,0.0011,,0.000134,0.00363,,,0.000113,
1963,2015-12-01,0.0367,0.000914,,0.00013,0.0035,,,7.93e-05,
1964,2015-12-02,0.0356,0.000888,,0.00013,0.00335,,,0.000213,
1965,2015-12-03,0.0362,0.000854,,0.000132,0.00337,,,0.00012,
1966,2015-12-04,0.036,0.00086,,0.00013,0.00336,,,8.75e-05,
1967,2015-12-05,0.0375,0.000888,,0.000125,0.00344,,,8.82e-05,
1968,2015-12-06,0.0394,0.000899,,0.000124,0.00349,,,5.35e-05,
1969,2015-12-07,0.0394,0.000851,,0.000122,0.00356,,,5.3e-05,
1970,2015-12-08,0.0395,0.000836,,0.000134,0.00358,,,5.24e-05,
1971,2015-12-09,0.0418,0.000833,,0.000147,0.00367,,,9.32e-05,
1972,2015-12-10,0.0416,0.000857,,0.000148,0.00363,,,5.61e-05,
1973,2015-12-11,0.0432,0.000897,,0.000152,0.00374,,,0.000131,
1974,2015-12-12,0.0432,0.0011,,0.000153,0.00363,,,0.000133,
1975,2015-12-13,0.0436,0.00102,,0.000155,0.00358,,,9.7e-05,
1976,2015-12-14,0.0441,0.00449,,0.000153,0.00359,,,0.000276,
1977,2015-12-15,0.0457,0.00575,,0.000158,0.00373,,,0.000261,
1978,2015-12-16,0.0457,0.00126,,0.000165,0.00385,,,6.04e-05,
1979,2015-12-17,0.0455,0.00101,,0.000161,0.00407,,,5.92e-05,
1980,2015-12-18,0.0459,0.00118,,0.000158,0.00394,,,5.89e-05,
1981,2015-12-19,0.0463,0.000958,,0.000159,0.00372,,,5.95e-05,
1982,2015-12-20,0.0454,0.00116,,0.000155,0.00377,,,9.53e-05,
1983,2015-12-21,0.0437,0.00114,,0.000151,0.0069,,,0.000128,
1984,2015-12-22,0.0439,0.00214,,0.000152,0.00355,,,5.66e-05,
1985,2015-12-23,0.0441,0.00322,,0.000153,0.00384,,,5.71e-05,
1986,2015-12-24,0.0454,0.0011,,0.000155,0.00362,,,0.000263,
1987,2015-12-25,0.0455,0.000918,,0.000158,0.00361,,,0.000145,
1988,2015-12-26,0.0428,0.00107,,0.000151,0.00348,,,6.27e-05,
1989,2015-12-27,0.0417,0.00338,,0.000149,0.00345,,,6e-05,
1990,2015-12-28,0.0424,0.00108,,0.00015,0.00357,,,0.000104,
