,Time,BTC_Average_Fee_Percentage_in_Total_Block_Reward,ETH_Average_Fee_Percentage_in_Total_Block_Reward,XRP_Average_Fee_Percentage_in_Total_Block_Reward,DOGE_Average_Fee_Percentage_in_Total_Block_Reward,LTC_Average_Fee_Percentage_in_Total_Block_Reward,BCH_Average_Fee_Percentage_in_Total_Block_Reward,XMR_Average_Fee_Percentage_in_Total_Block_Reward,DASH_Average_Fee_Percentage_in_Total_Block_Reward,ZEC_Average_Fee_Percentage_in_Total_Block_Reward
1963,2015-11-30,0.84,0.0729,,0.207,0.223,,0.367,0.54,
1964,2015-12-01,0.744,0.0455,,0.232,0.334,,0.263,0.532,
1965,2015-12-02,0.801,0.0422,,0.126,0.327,,0.223,0.811,
1966,2015-12-03,0.831,0.0364,,0.132,0.434,,0.247,0.819,
1967,2015-12-04,0.745,0.0448,,0.126,0.377,,0.235,0.5,
1968,2015-12-05,0.706,0.0475,,0.163,0.438,,0.283,0.636,
1969,2015-12-06,0.759,0.0628,,0.18,0.588,,0.246,0.63,
1970,2015-12-07,0.891,0.0346,,0.162,0.298,,0.272,0.605,
1971,2015-12-08,0.745,0.0334,,0.138,0.378,,0.176,0.66,
1972,2015-12-09,0.881,0.0342,,0.161,0.405,,0.224,0.711,
1973,2015-12-10,0.661,0.0397,,0.147,0.321,,0.238,0.576,
1974,2015-12-11,1.071,0.0603,,0.15,0.365,,0.417,0.696,
1975,2015-12-12,0.905,0.0823,,0.172,0.746,,0.284,0.71,
1976,2015-12-13,0.929,0.0649,,0.165,0.474,,0.29,0.675,
1977,2015-12-14,0.825,0.27,,0.173,0.73,,0.31,0.817,
1978,2015-12-15,0.867,0.404,,0.169,0.958,,0.269,0.808,
1979,2015-12-16,0.91,0.162,,0.17,1.152,,0.257,0.776,
1980,2015-12-17,0.963,0.117,,0.157,0.647,,0.223,0.79,
1981,2015-12-18,0.887,0.117,,0.148,0.629,,0.212,0.764,
1982,2015-12-19,0.89,0.104,,0.179,0.518,,0.197,0.645,
1983,2015-12-20,0.807,0.126,,0.2,0.634,,0.436,0.724,
1984,2015-12-21,1.092,0.143,,0.232,2.141,,0.297,0.754,
1985,2015-12-22,1.033,0.208,,0.148,0.925,,0.291,0.773,
1986,2015-12-23,1.005,0.283,,0.146,1.721,,0.263,0.615,
1987,2015-12-24,1.043,0.166,,0.136,1.108,,0.27,0.782,
1988,2015-12-25,0.726,0.0966,,0.137,0.615,,0.178,0.881,
1989,2015-12-26,0.729,0.114,,0.163,0.78,,0.378,0.745,
1990,2015-12-27,0.526,0.303,,0.243,1.105,,0.234,0.647,
1991,2015-12-28,0.819,0.131,,0.188,0.62,,0.185,0.696,
1992,2015-12-29,0.783,0.121,,0.199,0.796,,0.371,0.782,
1993,2015-12-30,0.742,0.272,,0.217,1.234,,0.271,0.996,
1994,2015-12-31,0.714,0.0904,,0.169,0.582,,0.253,0.747,
1995,2016-01-01,0.584,0.0582,,0.139,0.752,,0.253,0.569,
1996,2016-01-02,0.859,0.0684,,0.174,1.008,,0.273,0.793,
1997,2016-01-03,0.661,0.0679,,0.216,0.639,,0.232,0.6,
1998,2016-01-04,0.676,0.0751,,0.206,0.996,,0.653,0.54,
1999,2016-01-05,0.816,0.206,,0.153,0.549,,0.261,0.536,
2000,2016-01-06,0.856,0.231,,0.173,0.613,,0.314,0.129,
2001,2016-01-07,0.998,0.231,,0.152,1.423,,0.234,0.637,
2002,2016-01-08,0.747,0.0898,,0.159,1.914,,0.285,0.47,
2003,2016-01-09,0.795,0.137,,0.242,2.839,,0.239,0.525,
2004,2016-01-10,0.636,0.0933,,0.195,1.772,,0.315,2.245,
2005,2016-01-11,0.838,0.0918,,0.191,1.431,,0.305,0.702,
2006,2016-01-12,0.811,0.0965,,0.197,0.733,,0.238,0.634,
2007,2016-01-13,0.919,0.217,,0.164,0.825,,0.272,0.549,
2008,2016-01-14,0.949,0.0966,,0.136,0.686,,0.275,0.659,
2009,2016-01-15,1.16,0.0842,,0.201,0.747,,0.279,0.751,
2010,2016-01-16,0.971,0.0831,,0.159,0.624,,0.267,0.833,
2011,2016-01-17,0.954,0.0622,,0.227,0.575,,0.315,0.793,
2012,2016-01-18,0.905,0.113,,0.21,0.528,,1.067,1.016,
2013,2016-01-19,1.18,0.132,,0.155,0.58,,0.573,0.759,
2014,2016-01-20,1.209,0.0697,,0.242,0.682,,0.616,0.78,
2015,2016-01-21,1.45,0.0757,,0.177,0.618,,0.378,0.811,
2016,2016-01-22,1.017,0.115,,0.2,0.814,,0.327,1.056,
2017,2016-01-23,0.856,0.0657,,0.299,0.914,,0.346,0.769,
2018,2016-01-24,0.932,0.0845,,0.218,0.763,,0.448,0.772,
2019,2016-01-25,1.123,0.152,,0.298,0.799,,0.338,0.77,
2020,2016-01-26,1.163,0.137,,0.283,1.027,,0.242,0.783,
2021,2016-01-27,1.253,0.21,,0.789,1.246,,0.355,0.531,
2022,2016-01-28,1.284,0.151,,0.222,1.009,,0.407,0.551,
2023,2016-01-29,1.101,0.139,,0.236,0.831,,0.268,0.697,
2024,2016-01-30,0.828,0.129,,0.232,0.87,,0.206,0.668,
2025,2016-01-31,0.759,0.127,,0.251,0.771,,0.268,0.662,
2026,2016-02-01,1.373,0.117,,0.196,0.617,,0.242,0.749,
2027,2016-02-02,1.287,0.11,,0.201,0.573,,0.392,0.675,
2028,2016-02-03,0.991,0.0984,,0.168,0.529,,0.252,0.633,
2029,2016-02-04,0.901,0.118,,0.194,0.607,,0.297,0.659,
2030,2016-02-05,0.908,0.137,,0.178,0.557,,0.257,0.541,
2031,2016-02-06,0.798,0.455,,0.169,0.621,,0.244,0.192,
2032,2016-02-07,0.878,0.171,,0.193,0.546,,0.291,0.778,
2033,2016-02-08,1.127,0.131,,0.137,0.513,,0.226,0.69,
2034,2016-02-09,0.941,0.178,,0.158,0.617,,0.234,0.766,
2035,2016-02-10,1.089,0.213,,0.135,0.687,,0.329,0.769,
2036,2016-02-11,0.914,0.166,,0.123,0.546,,0.39,0.827,
2037,2016-02-12,0.906,0.121,,0.167,0.535,,0.246,0.685,
2038,2016-02-13,0.888,0.13,,0.135,0.517,,1.042,0.694,
2039,2016-02-14,0.841,0.102,,0.225,0.497,,0.517,0.647,
2040,2016-02-15,1.097,0.114,,0.393,0.527,,0.472,0.839,
2041,2016-02-16,1.209,0.122,,0.452,0.445,,0.725,0.861,
2042,2016-02-17,1.12,0.152,,0.127,0.414,,0.501,0.794,
2043,2016-02-18,1.016,0.108,,0.132,0.545,,0.313,0.924,
2044,2016-02-19,1.252,0.133,,0.123,0.387,,0.322,0.902,
2045,2016-02-20,1.091,0.0978,,0.202,0.565,,0.35,0.813,
2046,2016-02-21,1.245,0.101,,0.177,0.384,,0.323,0.825,
2047,2016-02-22,1.423,0.117,,0.138,0.272,,0.354,0.942,
2048,2016-02-23,1.403,0.343,,0.14,0.373,,0.283,0.97,
2049,2016-02-24,1.536,0.189,,0.18,0.262,,0.385,0.858,
2050,2016-02-25,1.171,0.114,,0.169,0.314,,0.339,1.009,
2051,2016-02-26,1.197,0.184,,0.221,0.346,,0.344,3.04,
2052,2016-02-27,1.007,0.105,,0.215,0.393,,0.383,1.02,
2053,2016-02-28,1.311,0.107,,0.266,0.363,,0.279,0.765,
2054,2016-02-29,1.636,0.126,,0.195,0.419,,0.374,0.789,
2055,2016-03-01,1.676,0.123,,0.161,0.554,,0.377,0.962,
2056,2016-03-02,2.295,0.139,,0.205,0.299,,0.301,0.992,
2057,2016-03-03,1.636,0.131,,0.17,0.357,,0.688,0.945,
2058,2016-03-04,1.314,0.126,,0.22,0.369,,1.169,1.113,
2059,2016-03-05,1.629,0.124,,0.189,0.403,,1.021,1.118,
2060,2016-03-06,1.047,0.143,,0.271,0.362,,0.689,0.964,
2061,2016-03-07,1.299,0.113,,0.199,0.327,,0.672,0.254,
2062,2016-03-08,1.154,0.118,,0.127,0.274,,0.468,0.856,
2063,2016-03-09,1.286,0.0984,,0.166,0.336,,0.458,0.797,
2064,2016-03-10,1.05,0.0751,,0.156,0.378,,0.42,0.956,
2065,2016-03-11,0.985,0.0719,,0.136,0.364,,0.305,0.858,
2066,2016-03-12,0.947,0.0903,,0.147,0.303,,0.33,0.888,
2067,2016-03-13,1.066,0.0919,,0.19,0.288,,0.499,0.967,
2068,2016-03-14,1.07,0.103,,0.181,0.306,,0.401,0.872,
2069,2016-03-15,1.055,0.0754,,0.173,0.307,,0.52,0.871,
2070,2016-03-16,1.248,0.0742,,0.127,0.315,,0.291,1.018,
2071,2016-03-17,1.298,0.0955,,0.171,0.219,,0.298,0.828,
2072,2016-03-18,1.247,0.0855,,0.163,0.229,,0.679,0.788,
2073,2016-03-19,1.001,0.134,,0.14,0.24,,0.534,0.655,
2074,2016-03-20,0.917,0.11,,0.22,0.276,,0.803,0.748,
2075,2016-03-21,1.171,0.101,,0.182,0.163,,0.583,0.905,
2076,2016-03-22,1.14,0.0805,,0.142,0.201,,0.728,0.7,
2077,2016-03-23,1.02,0.101,,0.147,0.224,,0.565,1.112,
2078,2016-03-24,1.038,0.125,,0.138,0.175,,0.813,1.132,
2079,2016-03-25,0.889,0.123,,0.196,0.195,,1.094,1.007,
2080,2016-03-26,0.929,0.106,,0.15,0.166,,1.059,0.826,
2081,2016-03-27,0.893,0.0595,,0.255,0.195,,1.113,0.883,
2082,2016-03-28,1.075,0.0824,,0.182,0.185,,0.65,0.918,
2083,2016-03-29,1.452,0.0744,,0.16,0.173,,0.717,0.788,
2084,2016-03-30,1.231,0.108,,0.155,0.137,,0.593,0.68,
2085,2016-03-31,1.455,0.078,,0.201,0.144,,0.861,0.637,
2086,2016-04-01,1.373,0.0741,,0.173,0.15,,0.293,0.703,
2087,2016-04-02,1.41,0.0569,,0.24,0.159,,2.216,1.208,
2088,2016-04-03,1.214,0.0553,,0.253,0.121,,0.624,0.883,
2089,2016-04-04,1.075,0.0758,,0.286,0.165,,0.431,0.811,
2090,2016-04-05,1.223,0.0879,,0.199,0.18,,0.425,0.908,
2091,2016-04-06,1.468,0.0678,,0.181,0.169,,0.421,0.218,
2092,2016-04-07,1.272,0.0672,,0.198,0.167,,0.411,0.806,
2093,2016-04-08,1.196,0.0769,,0.193,0.201,,0.413,0.64,
2094,2016-04-09,0.895,0.0633,,0.215,0.185,,0.503,0.674,
2095,2016-04-10,0.764,0.0598,,0.235,0.147,,0.457,0.59,
2096,2016-04-11,1.294,0.0591,,0.273,0.139,,0.593,0.47,
2097,2016-04-12,1.354,0.0715,,0.23,0.139,,0.417,0.475,
2098,2016-04-13,1.104,0.101,,0.19,0.168,,0.313,0.46,
2099,2016-04-14,1.083,0.0973,,0.15,0.144,,1.165,0.52,
2100,2016-04-15,1.27,0.0717,,0.204,0.153,,0.762,0.441,
2101,2016-04-16,0.98,0.0535,,0.15,0.126,,0.402,0.364,
2102,2016-04-17,0.861,0.0912,,0.183,0.132,,0.759,0.398,
2103,2016-04-18,1.394,0.0617,,0.183,0.118,,0.354,0.384,
2104,2016-04-19,1.147,0.0596,,0.223,0.119,,0.399,0.501,
2105,2016-04-20,1.038,0.0731,,0.164,0.202,,0.377,0.673,
2106,2016-04-21,1.122,0.0937,,0.163,0.202,,0.408,0.617,
2107,2016-04-22,1.181,0.0638,,0.142,0.146,,0.376,0.584,
2108,2016-04-23,0.913,0.0603,,0.146,0.15,,0.314,0.559,
2109,2016-04-24,0.999,0.0696,,0.261,0.164,,0.385,0.863,
2110,2016-04-25,1.346,0.0722,,0.171,0.165,,0.338,0.862,
2111,2016-04-26,8.217,0.0678,,0.156,0.21,,0.312,0.843,
2112,2016-04-27,1.41,0.0628,,0.161,0.17,,0.511,0.989,
2113,2016-04-28,1.45,0.0698,,0.222,0.208,,0.376,0.718,
2114,2016-04-29,1.249,0.0724,,0.146,0.157,,0.512,0.777,
2115,2016-04-30,1.108,0.098,,0.135,0.134,,0.297,0.9,
2116,2016-05-01,0.883,0.115,,0.235,0.165,,0.268,0.899,
2117,2016-05-02,1.138,0.0839,,0.162,0.148,,0.413,1.185,
2118,2016-05-03,1.175,0.0823,,0.152,0.207,,0.298,1.07,
2119,2016-05-04,1.118,0.0847,,0.251,0.141,,0.35,1.237,
2120,2016-05-05,1.13,0.095,,0.164,0.151,,0.376,1.22,
2121,2016-05-06,1.088,0.108,,0.151,0.154,,0.349,0.273,
2122,2016-05-07,0.994,0.0747,,0.172,0.136,,0.265,0.676,
2123,2016-05-08,0.821,0.0884,,0.131,0.117,,0.322,0.769,
2124,2016-05-09,0.938,0.0809,,0.194,0.201,,0.339,1.053,
2125,2016-05-10,1.204,0.0852,,0.155,0.216,,0.323,0.888,
2126,2016-05-11,1.362,0.0985,,0.269,0.224,,0.421,1.02,
2127,2016-05-12,1.328,0.118,,0.18,0.161,,0.484,0.995,
2128,2016-05-13,1.237,0.13,,0.219,0.146,,0.515,0.962,
2129,2016-05-14,1.317,0.108,,0.229,0.17,,0.36,1.103,
2130,2016-05-15,1.297,0.0958,,0.22,0.12,,0.412,0.884,
2131,2016-05-16,1.689,0.0854,,0.327,0.15,,0.794,1.056,
2132,2016-05-17,1.632,0.086,,0.217,0.148,,0.395,0.912,
2133,2016-05-18,1.501,0.106,,0.233,0.142,,0.361,1.027,
2134,2016-05-19,1.801,0.102,,0.298,0.195,,0.412,1.152,
2135,2016-05-20,1.367,0.116,,0.265,0.143,,0.466,1.268,
2136,2016-05-21,1.588,0.11,,0.25,0.145,,0.495,1.082,
2137,2016-05-22,0.931,0.0877,,0.282,0.159,,0.425,1.044,
2138,2016-05-23,1.203,0.0905,,0.271,0.151,,0.324,1.156,
2139,2016-05-24,1.595,0.0875,,0.257,0.129,,0.423,1.305,
2140,2016-05-25,1.707,0.0987,,0.251,0.296,,0.896,1.003,
2141,2016-05-26,1.623,0.109,,0.216,0.12,,0.296,1.086,
2142,2016-05-27,2.001,0.115,,0.242,0.181,,0.857,1.228,
2143,2016-05-28,1.551,0.221,,0.291,0.166,,0.322,1.056,
2144,2016-05-29,1.29,0.119,,0.285,0.162,,0.649,1.241,
2145,2016-05-30,1.583,0.0975,,0.234,0.189,,0.658,0.871,
2146,2016-05-31,1.623,0.0969,,0.237,0.196,,0.465,0.841,
2147,2016-06-01,1.548,0.0953,,0.209,0.178,,0.959,0.775,
2148,2016-06-02,1.669,0.079,,0.259,0.171,,0.331,0.727,
2149,2016-06-03,1.518,0.0768,,0.228,0.195,,0.32,0.867,
2150,2016-06-04,1.538,0.0745,,0.176,0.121,,0.433,0.747,
2151,2016-06-05,1.029,0.0744,,0.191,0.136,,0.403,0.827,
2152,2016-06-06,1.213,0.0785,,0.144,0.165,,0.505,0.169,
2153,2016-06-07,1.479,0.205,,0.16,0.174,,0.307,0.826,
2154,2016-06-08,1.382,0.0863,,0.127,0.147,,0.375,0.793,
2155,2016-06-09,1.275,0.0881,,0.143,0.168,,0.453,0.798,
2156,2016-06-10,1.447,0.0912,,0.127,0.165,,0.371,0.887,
2157,2016-06-11,1.173,0.0828,,0.132,0.191,,0.422,0.855,
2158,2016-06-12,1.417,0.0888,,0.187,0.235,,0.452,0.981,
2159,2016-06-13,1.563,0.112,,0.176,0.283,,0.575,0.904,
2160,2016-06-14,2.05,0.117,,0.178,0.204,,0.441,0.938,
2161,2016-06-15,2.148,0.0938,,0.171,0.185,,0.771,0.808,
2162,2016-06-16,2.163,0.125,,0.256,0.191,,0.805,0.751,
2163,2016-06-17,2.075,0.643,,0.214,0.185,,0.576,0.895,
2164,2016-06-18,1.757,0.746,,0.135,0.151,,1.156,0.895,
2165,2016-06-19,1.408,0.159,,0.173,0.144,,0.597,0.818,
2166,2016-06-20,1.839,0.159,,0.15,0.176,,0.631,0.834,
2167,2016-06-21,2.008,0.221,,0.149,0.188,,0.556,0.895,
2168,2016-06-22,2.388,0.153,,0.161,0.177,,0.468,0.784,
2169,2016-06-23,2.107,0.0984,,0.126,0.189,,0.438,0.797,
2170,2016-06-24,2.248,0.12,,0.137,0.162,,0.397,0.934,
2171,2016-06-25,1.485,0.0878,,0.134,0.168,,0.409,0.875,
2172,2016-06-26,1.467,0.0834,,0.219,0.179,,0.348,0.825,
2173,2016-06-27,1.655,0.0849,,0.143,0.136,,0.408,0.787,
2174,2016-06-28,1.554,0.0981,,0.149,0.157,,0.591,0.839,
2175,2016-06-29,1.663,0.174,,0.128,0.14,,0.561,0.723,
2176,2016-06-30,1.64,0.267,,0.127,0.142,,0.456,0.856,
2177,2016-07-01,1.468,0.136,,0.148,0.165,,0.421,0.831,
2178,2016-07-02,1.402,0.0751,,0.187,0.132,,0.427,0.927,
2179,2016-07-03,1.168,0.0941,,0.256,0.138,,0.52,0.888,
2180,2016-07-04,1.441,0.0819,,0.201,0.189,,0.528,0.812,
2181,2016-07-05,1.519,0.0936,,0.215,0.147,,0.475,0.738,
2182,2016-07-06,1.567,0.09,,0.179,0.211,,0.788,0.198,
2183,2016-07-07,1.624,0.082,,0.189,0.27,,0.813,0.803,
2184,2016-07-08,1.556,0.12,,0.203,0.207,,0.688,0.682,
2185,2016-07-09,1.495,0.145,,0.179,0.145,,0.448,0.707,
2186,2016-07-10,1.941,0.0851,,0.216,0.23,,0.433,0.649,
2187,2016-07-11,3.11,0.0875,,0.209,0.188,,0.517,0.731,
2188,2016-07-12,2.785,0.101,,0.199,0.116,,0.519,0.702,
2189,2016-07-13,3.195,0.0758,,0.173,0.161,,0.527,0.667,
2190,2016-07-14,3.161,0.0997,,0.17,0.138,,0.416,0.785,
2191,2016-07-15,3.171,0.0895,,0.184,0.276,,0.477,0.652,
2192,2016-07-16,2.519,0.0729,,0.213,0.11,,0.331,0.609,
2193,2016-07-17,2.508,0.061,,0.215,0.0995,,0.486,0.726,
2194,2016-07-18,3.096,0.0773,,0.194,0.123,,0.515,0.595,
2195,2016-07-19,3.724,0.0897,,0.338,0.165,,0.411,0.787,
2196,2016-07-20,3.312,0.23,,0.499,0.175,,0.418,0.735,
2197,2016-07-21,3.509,0.102,,0.251,0.147,,0.539,0.73,
2198,2016-07-22,3.888,0.116,,0.186,0.166,,0.462,0.948,
2199,2016-07-23,3.539,0.0998,,0.181,0.116,,0.436,0.847,
2200,2016-07-24,3.182,0.116,,0.223,0.0987,,0.374,0.765,
2201,2016-07-25,4.086,0.121,,0.186,0.105,,0.393,0.708,
2202,2016-07-26,4.208,0.144,,0.196,0.139,,0.474,0.635,
2203,2016-07-27,4.475,0.113,,0.184,0.118,,0.383,0.672,
2204,2016-07-28,4.045,0.19,,0.161,0.11,,0.475,0.66,
2205,2016-07-29,3.786,0.139,,0.16,0.121,,0.338,0.681,
2206,2016-07-30,4.234,0.0928,,0.147,0.111,,0.402,0.721,
2207,2016-07-31,3.635,0.0922,,0.169,0.141,,0.553,0.723,
2208,2016-08-01,3.688,0.0944,,0.161,0.142,,0.457,0.83,
2209,2016-08-02,4.059,0.106,,0.148,0.161,,0.43,0.771,
2210,2016-08-03,3.521,0.102,,0.139,0.121,,0.423,0.788,
2211,2016-08-04,3.511,0.0966,,0.164,0.0944,,0.54,0.659,
2212,2016-08-05,3.411,0.0893,,0.142,0.0935,,0.392,0.139,
2213,2016-08-06,2.798,0.081,,0.126,0.0999,,0.482,0.847,
2214,2016-08-07,3.497,0.084,,0.183,0.124,,0.945,0.709,
2215,2016-08-08,4.467,0.164,,0.169,0.154,,0.511,0.645,
2216,2016-08-09,4.576,0.0941,,0.145,0.212,,0.659,0.709,
2217,2016-08-10,3.85,0.102,,0.158,0.148,,0.541,0.699,
2218,2016-08-11,4.091,0.0976,,0.174,0.17,,0.379,0.728,
2219,2016-08-12,3.662,0.0914,,0.175,0.158,,0.453,0.727,
2220,2016-08-13,2.99,0.0768,,0.168,0.177,,0.447,0.723,
2221,2016-08-14,2.938,0.0742,,0.148,0.244,,0.371,1.039,
2222,2016-08-15,3.612,0.0824,,0.162,0.15,,0.673,0.827,
2223,2016-08-16,4.695,0.0953,,0.167,0.146,,1.029,0.876,
2224,2016-08-17,4.578,0.0877,,0.124,0.139,,0.638,0.852,
2225,2016-08-18,3.823,0.107,,0.143,0.116,,0.664,0.912,
2226,2016-08-19,4.031,0.0916,,0.16,0.109,,0.503,1.002,
2227,2016-08-20,3.065,0.0806,,0.119,0.124,,0.729,0.767,
2228,2016-08-21,2.428,0.0863,,0.216,0.13,,0.911,0.639,
2229,2016-08-22,3.225,0.0904,,0.196,0.186,,1.779,0.807,
2230,2016-08-23,3.553,0.217,,0.18,0.167,,1.86,0.877,
2231,2016-08-24,3.291,0.0908,,0.197,0.188,,1.446,1.234,
2232,2016-08-25,3.826,0.099,,0.184,0.206,,1.126,1.001,
2233,2016-08-26,3.649,0.0968,,0.201,0.132,,0.989,0.678,
2234,2016-08-27,2.992,0.0864,,0.202,0.139,,0.771,0.846,
2235,2016-08-28,2.512,0.0785,,0.195,0.111,,2.268,0.898,
2236,2016-08-29,3.343,0.0899,,0.171,0.108,,2.345,1.067,
2237,2016-08-30,3.196,0.099,,0.133,0.141,,1.574,1.022,
2238,2016-08-31,3.598,0.0913,,0.129,0.233,,1.377,1.013,
2239,2016-09-01,3.503,0.0978,,0.12,0.179,,1.214,0.995,
2240,2016-09-02,2.913,0.136,,0.121,0.201,,1.316,1.024,
2241,2016-09-03,3.171,0.0845,,0.118,0.156,,2.601,0.999,
2242,2016-09-04,2.043,0.151,,0.141,0.215,,1.663,0.841,
2243,2016-09-05,3.48,0.0869,,0.136,0.171,,1.848,0.221,
2244,2016-09-06,3.447,0.103,,0.116,0.149,,1.527,0.871,
2245,2016-09-07,3.249,0.104,,0.129,0.126,,1.573,0.856,
2246,2016-09-08,3.207,0.126,,0.12,0.135,,1.239,0.872,
2247,2016-09-09,3.449,0.127,,0.115,0.126,,1.163,0.924,
2248,2016-09-10,2.575,0.0843,,0.12,0.161,,0.974,0.842,
2249,2016-09-11,2.263,0.0862,,0.141,0.189,,1.271,0.802,
2250,2016-09-12,2.674,0.106,,0.118,0.142,,1.204,1.133,
2251,2016-09-13,3.196,0.0932,,0.133,0.127,,1.074,0.869,
2252,2016-09-14,3.101,0.109,,0.142,0.0965,,0.957,0.84,
2253,2016-09-15,3.01,0.11,,0.113,0.121,,1.062,0.824,
2254,2016-09-16,3.555,0.142,,0.107,0.0927,,1.182,0.797,
2255,2016-09-17,2.753,0.107,,0.138,0.139,,1.56,0.834,
2256,2016-09-18,2.844,0.0976,,0.137,0.113,,0.856,0.95,
2257,2016-09-19,3.827,0.0772,,0.141,0.0874,,1.254,0.852,
2258,2016-09-20,3.497,0.0982,,0.111,0.114,,1.618,0.848,
2259,2016-09-21,3.038,0.0916,,0.118,0.127,,1.692,1.004,
2260,2016-09-22,3.439,0.183,,0.108,0.0915,,0.908,0.84,
2261,2016-09-23,3.414,0.137,,0.155,0.0932,,0.954,0.994,
2262,2016-09-24,2.765,0.201,,0.0975,0.109,,0.916,0.847,
2263,2016-09-25,2.101,0.185,,0.139,0.117,,0.867,0.834,
2264,2016-09-26,3.07,0.338,,0.117,0.116,,1.229,1.163,
2265,2016-09-27,2.931,0.258,,0.13,0.215,,0.91,0.969,
2266,2016-09-28,3.383,0.204,,0.112,0.11,,1.079,0.78,
2267,2016-09-29,3.695,0.124,,0.114,0.121,,0.854,1.078,
2268,2016-09-30,3.715,0.124,,0.109,0.101,,0.848,0.972,
2269,2016-10-01,2.908,0.247,,0.107,0.151,,0.873,1.125,
2270,2016-10-02,2.944,0.23,,0.126,0.104,,0.615,0.968,
2271,2016-10-03,3.835,0.19,,0.117,0.1,,0.87,1.078,
2272,2016-10-04,3.474,0.256,,0.105,0.116,,0.665,0.941,
2273,2016-10-05,3.371,0.18,,0.112,0.162,,0.915,0.225,
2274,2016-10-06,3.721,0.145,,0.118,0.119,,0.704,0.968,
2275,2016-10-07,3.877,0.133,,0.111,0.114,,0.399,1.005,
2276,2016-10-08,3.099,0.147,,0.103,0.0938,,0.298,0.933,
2277,2016-10-09,2.833,0.172,,0.133,0.103,,0.438,0.952,
2278,2016-10-10,4.195,0.158,,0.105,0.106,,0.368,1.106,
2279,2016-10-11,4.444,0.116,,0.112,0.169,,0.516,1.049,
2280,2016-10-12,3.659,0.126,,0.105,0.155,,0.421,1.053,
2281,2016-10-13,4.028,0.297,,0.0968,0.189,,0.368,0.923,
2282,2016-10-14,3.849,0.218,,0.113,0.173,,0.337,0.951,
2283,2016-10-15,3.409,0.207,,0.116,0.163,,0.495,1.065,
2284,2016-10-16,3.422,0.195,,0.27,0.129,,0.383,0.984,
2285,2016-10-17,4.433,0.212,,0.149,0.121,,0.474,1.097,
2286,2016-10-18,3.836,0.278,,0.125,0.0987,,0.338,1.156,
2287,2016-10-19,3.841,0.262,,0.0996,0.106,,0.289,0.911,
2288,2016-10-20,5.065,0.152,,0.124,0.101,,0.302,1.017,
2289,2016-10-21,3.581,0.126,,0.0912,0.0861,,0.329,1.0,
2290,2016-10-22,3.456,0.0851,,0.0892,0.107,,0.323,1.005,
2291,2016-10-23,3.617,0.082,,0.105,0.121,,0.341,1.024,
2292,2016-10-24,4.345,0.147,,0.102,0.133,,0.322,1.249,
2293,2016-10-25,5.398,0.133,,0.0919,0.122,,0.376,1.287,
2294,2016-10-26,6.693,0.107,,0.0927,0.113,,0.313,1.026,
2295,2016-10-27,5.201,0.103,,0.0946,0.115,,0.271,1.279,
2296,2016-10-28,4.149,0.113,,0.102,0.135,,0.342,1.032,
2297,2016-10-29,3.782,0.102,,0.108,0.168,,0.376,1.005,
2298,2016-10-30,2.898,0.0929,,0.112,0.145,,0.663,0.906,
2299,2016-10-31,3.99,0.102,,0.118,0.122,,0.324,1.073,
2300,2016-11-01,4.201,0.132,,0.102,0.176,,0.348,1.231,
2301,2016-11-02,4.567,0.0916,,0.0948,0.137,,0.32,0.974,
2302,2016-11-03,3.919,0.0927,,0.0993,0.181,,0.297,1.041,
2303,2016-11-04,5.499,0.0687,,0.107,0.165,,0.247,0.231,
2304,2016-11-05,3.861,0.0764,,0.116,0.149,,0.206,0.969,
2305,2016-11-06,3.573,0.0716,,0.143,0.15,,0.221,1.029,
2306,2016-11-07,4.766,0.085,,0.162,0.14,,0.368,1.063,4.71e-05
2307,2016-11-08,4.056,0.0949,,0.127,0.138,,0.701,1.04,
2308,2016-11-09,4.361,0.11,,0.126,0.156,,0.328,1.063,3.31e-05
2309,2016-11-10,3.773,0.11,,0.127,0.192,,0.311,0.991,2.38e-05
2310,2016-11-11,3.449,0.132,,0.0926,0.145,,0.344,0.999,4.18e-05
2311,2016-11-12,3.045,0.0938,,0.118,0.191,,0.348,0.987,2.15e-05
2312,2016-11-13,3.413,0.102,,0.149,0.154,,0.427,1.005,
2313,2016-11-14,3.565,0.117,,0.137,0.16,,0.393,1.01,2.52e-05
2314,2016-11-15,4.012,0.115,,0.14,0.14,,0.35,1.042,8.32e-06
2315,2016-11-16,3.586,0.108,,0.112,0.161,,0.441,1.141,2.3e-05
2316,2016-11-17,4.29,0.0963,,0.112,0.154,,0.316,1.084,8.93e-05
2317,2016-11-18,4.323,0.102,,0.109,0.144,,0.417,1.047,9.69e-06
2318,2016-11-19,3.908,0.0842,,0.104,0.144,,0.244,1.041,
2319,2016-11-20,4.363,0.098,,0.116,0.161,,0.259,1.001,2.95e-05
2320,2016-11-21,5.182,0.108,,0.122,0.162,,0.282,0.954,1.05e-05
2321,2016-11-22,5.717,0.119,,0.143,0.116,,0.469,1.114,1.3e-05
2322,2016-11-23,5.6,0.24,,0.15,0.119,,0.366,1.037,1.85e-05
2323,2016-11-24,6.29,0.173,,0.105,0.13,,0.376,0.978,1.34e-05
2324,2016-11-25,6.778,0.17,,0.114,0.148,,0.31,1.007,2.01e-06
2325,2016-11-26,5.054,0.213,,0.101,0.139,,0.269,1.02,2.98e-05
