TIMESTAMP,BTC_MARKET_CAP_USD,BTC_TOTAL_CIRCULATING_COINS
2009-04-17 00:00:00,0.0,562450.0
2009-04-17 08:00:00,0.0,564400.0
2009-04-17 16:00:00,0.0,566200.0
2009-04-18 00:00:00,0.0,568100.0
2009-04-18 08:00:00,0.0,570450.0
2009-04-18 16:00:00,0.0,572500.0
2009-04-19 00:00:00,0.0,574450.0
2009-04-19 08:00:00,0.0,576450.0
2009-04-19 16:00:00,0.0,578450.0
2009-04-20 00:00:00,0.0,580250.0
2009-04-20 08:00:00,0.0,582300.0
2009-04-20 16:00:00,0.0,584400.0
2009-04-21 00:00:00,0.0,586200.0
2009-04-21 08:00:00,0.0,588350.0
2009-04-21 16:00:00,0.0,590550.0
2009-04-22 00:00:00,0.0,592500.0
2009-04-22 08:00:00,0.0,594450.0
2009-04-22 16:00:00,0.0,596600.0
2009-04-23 00:00:00,0.0,598250.0
2009-04-23 08:00:00,0.0,598650.0
2009-04-23 16:00:00,0.0,600350.0
2009-04-24 00:00:00,0.0,602300.0
2009-04-24 08:00:00,0.0,604000.0
2009-04-24 16:00:00,0.0,606100.0
2009-04-25 00:00:00,0.0,607950.0
2009-04-25 08:00:00,0.0,610250.0
2009-04-25 16:00:00,0.0,612000.0
2009-04-26 00:00:00,0.0,614100.0
2009-04-26 08:00:00,0.0,615700.0
2009-04-26 16:00:00,0.0,617600.0
2009-04-27 00:00:00,0.0,619150.0
2009-04-27 08:00:00,0.0,620950.0
2009-04-27 16:00:00,0.0,622800.0
2009-04-28 00:00:00,0.0,624600.0
2009-04-28 08:00:00,0.0,626650.0
2009-04-28 16:00:00,0.0,628650.0
2009-04-29 00:00:00,0.0,630500.0
2009-04-29 08:00:00,0.0,632750.0
2009-04-29 16:00:00,0.0,635050.0
2009-04-30 00:00:00,0.0,637250.0
2009-04-30 08:00:00,0.0,639500.0
2009-04-30 16:00:00,0.0,641600.0
2009-05-01 00:00:00,0.0,643400.0
2009-05-01 08:00:00,0.0,645450.0
2009-05-01 16:00:00,0.0,647650.0
2009-05-02 00:00:00,0.0,650050.0
2009-05-02 08:00:00,0.0,651850.0
