TIMESTAMP,TOSHI27750_OPEN_PRICE_USD,TOSHI27750_HIGH_PRICE_USD,TOSHI27750_LOW_PRICE_USD,TOSHI27750_CLOSE_PRICE_USD,TOSHI27750_VOLUME_USD,TOSHI27750_DIVIDENDS_USD,TOSHI27750_STOCK_SPLITS_USD
2024-01-13 00:00:00+00:00,0.00013299999409355223,0.00013699999544769526,0.00011800000356743112,0.00013699999544769526,561338,0.0,0.0
2024-01-14 00:00:00+00:00,0.00013699999544769526,0.0001539999939268455,0.00013600000238511711,0.00013800000306218863,498057,0.0,0.0
2024-01-15 00:00:00+00:00,0.00013800000306218863,0.00013800000306218863,0.00011700000322889537,0.00012700000661425292,592959,0.0,0.0
2024-01-16 00:00:00+00:00,0.00012700000661425292,0.00016999999934341758,0.0001250000059371814,0.00016799999866634607,1172786,0.0,0.0
2024-01-17 00:00:00+00:00,0.00017100000695791095,0.00020599999697878957,0.00015100000018719584,0.00016900000628083944,2485407,0.0,0.0
2024-01-18 00:00:00+00:00,0.00016900000628083944,0.0001880000054370612,0.0001500000071246177,0.00016599999798927456,1051391,0.0,0.0
2024-01-19 00:00:00+00:00,0.00016599999798927456,0.00016799999866634607,0.00015100000018719584,0.00015700000221841037,838337,0.0,0.0
2024-01-20 00:00:00+00:00,0.00015700000221841037,0.00016399999731220305,0.000155999994603917,0.0001630000042496249,519957,0.0,0.0
2024-01-21 00:00:00+00:00,0.0001630000042496249,0.0001630000042496249,0.00014000000373926014,0.00014000000373926014,649805,0.0,0.0
2024-01-22 00:00:00+00:00,0.00014000000373926014,0.00014000000373926014,0.00012799999967683107,0.00013899999612476677,779099,0.0,0.0
2024-01-23 00:00:00+00:00,0.00013899999612476677,0.00015100000018719584,0.00012099999730708078,0.00012399999832268804,799067,0.0,0.0
2024-01-24 00:00:00+00:00,0.00012399999832268804,0.00013600000238511711,0.00012099999730708078,0.00012799999967683107,537364,0.0,0.0
2024-01-25 00:00:00+00:00,0.00012799999967683107,0.0001449999981559813,0.0001250000059371814,0.0001340000017080456,635711,0.0,0.0
2024-01-26 00:00:00+00:00,0.0001340000017080456,0.0001539999939268455,0.00013299999409355223,0.0001449999981559813,892572,0.0,0.0
2024-01-27 00:00:00+00:00,0.0001449999981559813,0.00018000000272877514,0.00013899999612476677,0.00016999999934341758,869143,0.0,0.0
2024-01-28 00:00:00+00:00,0.00016999999934341758,0.00017899999511428177,0.00015300000086426735,0.00015300000086426735,1176665,0.0,0.0
2024-01-29 00:00:00+00:00,0.00015300000086426735,0.0001610000035725534,0.00013600000238511711,0.0001500000071246177,699038,0.0,0.0
2024-01-30 00:00:00+00:00,0.0001500000071246177,0.0001500000071246177,0.00011999999696854502,0.00011999999696854502,886847,0.0,0.0
2024-01-31 00:00:00+00:00,0.00011999999696854502,0.0001610000035725534,0.00011899999663000926,0.00014699999883305281,1433392,0.0,0.0
2024-02-01 00:00:00+00:00,0.00014699999883305281,0.00014800000644754618,0.00012199999764561653,0.00012700000661425292,1018617,0.0,0.0
2024-02-02 00:00:00+00:00,0.00012700000661425292,0.00013600000238511711,0.0001230000052601099,0.00013299999409355223,636475,0.0,0.0
2024-02-03 00:00:00+00:00,0.0001320000010309741,0.00015500000154133886,0.00011800000356743112,0.0001289999927394092,1159760,0.0,0.0
2024-02-04 00:00:00+00:00,0.0001289999927394092,0.00015700000221841037,0.00011600000289035961,0.00014699999883305281,1480973,0.0,0.0
2024-02-05 00:00:00+00:00,0.00014699999883305281,0.00015100000018719584,0.00011899999663000926,0.00012199999764561653,1578151,0.0,0.0
2024-02-06 00:00:00+00:00,0.00012199999764561653,0.00014099999680183828,0.00011800000356743112,0.00013099999341648072,1063875,0.0,0.0
2024-02-07 00:00:00+00:00,0.00013099999341648072,0.0001320000010309741,9.40000027185306e-05,0.00010900000052060932,1832597,0.0,0.0
2024-02-08 00:00:00+00:00,0.00010900000052060932,0.00012199999764561653,9.899999713525176e-05,0.00011899999663000926,1273370,0.0,0.0
2024-02-09 00:00:00+00:00,0.00011899999663000926,0.0001230000052601099,0.00010399999882793054,0.00011999999696854502,777204,0.0,0.0
2024-02-10 00:00:00+00:00,0.00011999999696854502,0.00014200000441633165,0.00011899999663000926,0.00013800000306218863,1100482,0.0,0.0
2024-02-11 00:00:00+00:00,0.00013800000306218863,0.00013800000306218863,0.0001289999927394092,0.00013299999409355223,661964,0.0,0.0
2024-02-12 00:00:00+00:00,0.00013299999409355223,0.00015999999595806003,0.0001230000052601099,0.00015300000086426735,1031529,0.0,0.0
