TIMESTAMP,SHIN31666_OPEN_PRICE_USD,SHIN31666_HIGH_PRICE_USD,SHIN31666_LOW_PRICE_USD,SHIN31666_CLOSE_PRICE_USD,SHIN31666_VOLUME_USD,SHIN31666_DIVIDENDS_USD,SHIN31666_STOCK_SPLITS_USD
2024-11-02 00:00:00+00:00,,,,0.0,353,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,813,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,757,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,93,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,151,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,108,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,77,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,22,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,551,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,1996,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,3965,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,1147,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,708,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,446,0.0,0.0
2024-11-23 00:00:00+00:00,,,,0.0,53,0.0,0.0
2024-11-24 00:00:00+00:00,,,,0.0,99,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,86,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,768,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,724,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,477,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,194,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,186,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,1139,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,659,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,151,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,20492,0.0,0.0
2024-12-09 00:00:00+00:00,,,,0.0,3408,0.0,0.0
2024-12-10 00:00:00+00:00,,,,0.0,2675,0.0,0.0
2024-12-11 00:00:00+00:00,,,,0.0,5402,0.0,0.0
2024-12-12 00:00:00+00:00,,,,0.0,918,0.0,0.0
2024-12-13 00:00:00+00:00,,,,0.0,4532,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,273,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,312,0.0,0.0
2024-12-18 00:00:00+00:00,,,,0.0,515,0.0,0.0
2024-12-19 00:00:00+00:00,,,,0.0,491,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,2652,0.0,0.0
2024-12-21 00:00:00+00:00,,,,0.0,162,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,15,0.0,0.0
2024-12-24 00:00:00+00:00,,,,0.0,51,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,83,0.0,0.0
2024-12-27 00:00:00+00:00,,,,0.0,261,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,42,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,601,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,311,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,1575,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,1079,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,292,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,73,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,1078,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,243,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,50,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,228,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,569,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,143,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,201,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,35,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,850,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,343,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,540,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,805,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,659,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,49,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,17,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,67,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,180,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,198,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,686,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,25,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,701,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,987,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,630,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,260,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,23,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,3810,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,60,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,6299,0.0,0.0
2025-06-01 00:00:00+00:00,9.513468901545252e-10,9.513468901545252e-10,8.747609858694716e-10,8.747609858694716e-10,2538,0.0,0.0
